fold,model,n_test,n_train_subjects,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,retrieval_top1,retrieval_top5,retrieval_mrr,best_val_mse,best_val_corr,best_epoch,epochs_ran,pca_components,pca_explained_variance,latent_corr_mean
1,train_mean,2077,18,sub-10 sub-17 sub-18 sub-20,-1.3620154328426042e-19,-1.083693003802428e-18,0.45,-0.0010117978190687044,-0.0021923688208861287,0.0,0.0,0.0038517091959557053,0.019258545979778528,0.023633447524952538,,,,,,,
1,eeg_deep_query_attention,2077,18,sub-10 sub-17 sub-18 sub-20,0.015717406309052752,0.015341862111220114,0.84,0.009076836261007082,0.009787833818594105,-0.02915511162019413,-0.02915511162019413,0.003370245546461242,0.018777082330284064,0.023049018079260276,1.0835562944412231,0.015240244567394257,30.0,48.0,8.0,0.7437097715900856,0.009130203753976251
2,train_mean,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,4.905986384204461e-19,8.397836244521828e-19,0.55,-0.0012715990771846235,-0.003608911718559445,0.0,0.0,0.003734827264239029,0.018674136321195144,0.02303057817215607,,,,,,,
2,eeg_deep_query_attention,2142,17,sub-02 sub-04 sub-09 sub-11 sub-16,0.003461335486426832,0.004107846150159574,0.7,-0.002932810897457192,0.013408981350183341,-0.008917505887383275,-0.008917505887383279,0.0032679738562091504,0.014005602240896359,0.02026509238334373,0.8351973295211792,0.0031403980683535337,14.0,32.0,8.0,0.7466419418320517,-0.0023944129588077067
3,train_mean,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,-5.3539515719990776e-20,-1.1960485705350656e-19,0.48,-0.0009649824766443755,0.0012236535740662645,0.0,0.0,0.003656307129798903,0.018281535648994516,0.022631650292804267,,,,,,,
3,eeg_deep_query_attention,2188,17,sub-01 sub-03 sub-05 sub-12 sub-22,0.010554979918386477,0.011730154184126863,0.88,0.007202302637627403,0.022863682059747047,-0.0018009569349563736,-0.0018009569349563732,0.0031992687385740404,0.018738574040219377,0.022491543143400614,1.0478663444519043,0.002512049861252308,5.0,23.0,8.0,0.7484515804244936,0.0020795330666048377
4,train_mean,2088,18,sub-06 sub-08 sub-14 sub-21,1.4816519748658172e-19,-1.4179093545659715e-19,0.47,-0.0010660000928967022,-0.00012038650371156967,0.0,0.0,0.0038314176245210726,0.019157088122605363,0.023521101777063545,,,,,,,
4,eeg_deep_query_attention,2088,18,sub-06 sub-08 sub-14 sub-21,0.001608029537769537,0.0003263445830469357,0.52,0.001917319156874968,-0.009516134793877805,-0.0018388590743810907,-0.0018388590743810907,0.004310344827586207,0.019157088122605363,0.023943409503792496,1.1501665115356445,0.010428336448967457,1.0,19.0,8.0,0.7452509547976248,-0.006253712334471373
5,train_mean,2079,18,sub-07 sub-13 sub-15 sub-19,-1.756927376012676e-19,8.613387656894962e-19,0.52,0.00029589668846064486,0.002367679129841031,0.0,0.0,0.003848003848003848,0.01924001924001924,0.02359887865646912,,,,,,,
5,eeg_deep_query_attention,2079,18,sub-07 sub-13 sub-15 sub-19,0.0023205001787449785,0.0018563947531508604,0.56,0.005855875108038757,-0.0001795415459040638,-0.07746192883133621,-0.07746192883133621,0.004329004329004329,0.013468013468013467,0.022135284234240892,1.0187796354293823,0.014781570062041283,43.0,61.0,8.0,0.7509246514254232,0.00020800976993574135
