dataset,model,folds,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,r2_variance_weighted,n_train_mean,n_test_mean
Affective_music_listening_OpenNeuro_ds002725,eeg_bandpower_ridge,3,0.01363662589962284,0.01449056687609603,0.6699999999999999,0.005103576498980189,-0.7198947469393412,2000.0,1000.0
Affective_music_listening_OpenNeuro_ds002725,eeg_bandpower_shifted_null,3,-0.0030278038272323706,-0.004280332863951723,0.46666666666666673,0.0011998496968118335,-0.3998747169971466,2000.0,1000.0
Affective_music_listening_OpenNeuro_ds002725,time_ridge,3,0.014807013676399946,0.014436522265896201,0.7366666666666667,0.00802014987297862,-0.0018290564961110551,2000.0,1000.0
Affective_music_listening_OpenNeuro_ds002725,train_mean,3,-2.016042054802913e-09,-2.732207719328509e-09,0.29,0.008320886217080789,-0.001872270368039608,2000.0,1000.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,eeg_bandpower_ridge,3,0.013115581852932684,0.014443252546091875,0.7146871008939973,-0.003097620606436452,-1.8318655888239543,2000.0,1000.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,eeg_bandpower_shifted_null,3,0.005673374556173602,0.006890285798969368,0.5471264367816092,-0.007527882538258395,-1.2722871700922649,2000.0,1000.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,time_ridge,3,0.0525639686163209,0.04948419394592444,0.8527458492975734,0.025575847208160276,-0.002327250122713546,2000.0,1000.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,train_mean,3,-8.86590730897501e-10,-1.3655064486547037e-09,0.3035759897828863,0.0016741483859851836,-0.0004488124104682356,2000.0,1000.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,eeg_bandpower_ridge,3,0.007825278246843178,0.007800274509160469,0.62,0.0037767640036536244,-0.8315111994743347,2000.0,1000.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,eeg_bandpower_shifted_null,3,-0.013317547163775695,-0.014195968125325939,0.2866666666666666,-0.006485357588355934,-0.7414285143216451,2000.0,1000.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,time_ridge,3,0.05327975268048856,0.030744019197300076,0.6233333333333334,0.11659054794014567,0.0026714373379945755,2000.0,1000.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,train_mean,3,-2.643132619357677e-10,-4.74501900734244e-10,0.35000000000000003,0.000859319670686697,-0.0007017564106111726,2000.0,1000.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,eeg_bandpower_ridge,3,0.01119887806843811,0.0118839122975866,0.6833333333333335,-0.00336082938522893,-0.36762460072835285,2000.0,1000.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,eeg_bandpower_shifted_null,3,0.006078400478969949,0.006724585158129533,0.59,-0.0021616518440726734,-0.22762417296568552,2000.0,1000.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,time_ridge,3,0.0054992124477090945,0.004128109198063612,0.5266666666666667,0.004609306631260698,-0.0005287621752358973,2000.0,1000.0
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,train_mean,3,1.2631134901124097e-09,1.8873416903394022e-09,0.38000000000000006,0.003698309371595389,-0.0005423966892218838,2000.0,1000.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,eeg_bandpower_ridge,3,-0.009225804007655825,-0.009057839323456088,0.35000000000000003,-0.0033602707547898737,-0.9844449361165365,2000.0,1000.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,eeg_bandpower_shifted_null,3,-0.003040098111184003,-0.004618385845484833,0.40666666666666673,0.0028258083815930492,-1.110210657119751,2000.0,1000.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,time_ridge,3,-0.015293211104484119,-0.014961759404589733,0.3633333333333333,0.010562129316012414,-0.003988592866032074,2000.0,1000.0
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,train_mean,3,5.429098141707875e-10,9.221625222692135e-10,0.37666666666666665,-0.004531659020637825,-0.0007047468679957092,2000.0,1000.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,eeg_bandpower_ridge,3,0.009089262485257828,0.008285097816648582,0.6466666666666666,0.01234095347088346,-1.198247532049815,2000.0,1000.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,eeg_bandpower_shifted_null,3,-0.001450739722992391,-0.00200290308566764,0.47,0.006739668209447211,-1.0105066895484924,2000.0,1000.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,time_ridge,3,0.08799879062105902,0.08782034615675609,0.96,0.046051295298601795,0.006443074676402223,2000.0,1000.0
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,train_mean,3,8.270195642338002e-10,8.036180887405209e-10,0.38000000000000006,0.006273922853570366,-7.372593730300044e-05,2000.0,1000.0
natview,eeg_bandpower_ridge,3,0.0024537868836099126,0.002853313674374173,0.5466666666666667,0.0011333343839932941,-6.323259751001994,2000.0,1000.0
natview,eeg_bandpower_shifted_null,3,0.004173144154474357,0.003844913289261361,0.6,0.00516090336271716,-8.05572255452474,2000.0,1000.0
natview,time_ridge,3,0.031584390410765384,0.03072532545775175,0.9166666666666666,-0.0010192104777696999,-0.0014355689272633754,2000.0,1000.0
natview,train_mean,3,1.3300197949631557e-10,9.764647423970985e-11,0.33666666666666667,-0.0021811050458148237,-0.0017748068106205512,2000.0,1000.0
