dataset,fold,model,n_train,n_test,test_subjects,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,2,eeg_bandpower_ridge,1943,1057,sub-xp201 sub-xp202 sub-xp213 sub-xp216 sub-xp217 sub-xp222,0.015283699522519277,0.01548027154058218,0.8222222222222222,-0.026555496852208992,-0.021852731704711914,-1.747529149055481,-1.752681016921997
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,2,eeg_bandpower_shifted_null,1943,1057,sub-xp201 sub-xp202 sub-xp213 sub-xp216 sub-xp217 sub-xp222,-0.005624884448479861,-0.004665697226300836,0.4,-0.024480804951889364,-0.024914145469665527,-1.6440715789794922,-1.5853455066680908
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,train_mean,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,-5.802788064871814e-10,-2.018360367728178e-09,0.3448275862068966,0.008817672568575559,0.007598669035360217,-0.0004940046928822994,-0.0004993235343135893
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,time_ridge,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,0.057522995975510825,0.05676941201090813,0.8850574712643678,0.0341309390624988,0.034279653802514076,-0.0012752016773447394,-0.0012135825818404555
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,eeg_bandpower_ridge,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,0.01732417653400408,0.01963605359196663,0.735632183908046,0.03404815850486792,0.029488760977983475,-1.6088367700576782,-1.6167222261428833
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,3,eeg_bandpower_shifted_null,2118,882,sub-xp204 sub-xp206 sub-xp211 sub-xp220 sub-xp221,0.02366543664588946,0.026448212563991547,0.7816091954022989,0.005408953935724343,0.016272476874291897,-1.008958339691162,-1.0127302408218384
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,train_mean,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,-6.155697732368155e-10,-4.863641156482856e-10,0.33,0.0019606642287053546,-0.0023518794332630932,-0.000667472486384213,-0.0006690830923616886
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,time_ridge,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,0.08404262871132233,0.06438478827476501,0.79,0.12419481559596898,0.1425056830048561,0.012122465297579765,0.012093430384993553
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,eeg_bandpower_ridge,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,0.01651345279882662,0.013655699323862791,0.74,0.008483815839940689,0.008288313169032335,-0.6697512865066528,-0.6694977283477783
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,eeg_bandpower_shifted_null,2000,1000,sub-008 sub-011 sub-012 sub-013 sub-017 sub-019 sub-021 sub-023,-0.0016709066988551057,-0.0035350184189155698,0.44,-0.008157300580467564,0.0020984652219340205,-1.022977590560913,-1.023388385772705
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,train_mean,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,-5.516983572263803e-10,-9.371415865544463e-10,0.34,-1.7500227666459976e-05,-0.003062066389247775,-0.0008971738861873746,-0.0008951948257163167
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,time_ridge,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,0.059816146912053225,0.023479015566408634,0.56,0.11537649502395653,0.11035727337002754,0.007932232692837715,0.007992292754352093
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,eeg_bandpower_ridge,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,-0.003000153075554408,-0.001042836403939873,0.47,-0.005913437610084657,-0.009368118364363909,-0.6888860464096069,-0.6869134306907654
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,2,eeg_bandpower_shifted_null,2000,1000,sub-001 sub-003 sub-005 sub-006 sub-007 sub-016 sub-018 sub-025,-0.01794222503733181,-0.017260060645639896,0.24,-0.006081167372365599,-0.0011907291191164404,-0.586819589138031,-0.5854782462120056
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,train_mean,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,3.743283446558928e-10,0.0,0.38,0.0006347950110211968,0.00218262302223593,-0.0005392652819864452,-0.0005409913137555122
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,time_ridge,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,0.015980482418090105,0.004368253750726581,0.52,0.11020033320051152,0.110493965446949,-0.011944635771214962,-0.01207141112536192
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,eeg_bandpower_ridge,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,0.009962535017257324,0.010787960607558489,0.65,0.008759913781104842,-0.002707284060306847,-1.1425267457962036,-1.1381224393844604
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,3,eeg_bandpower_shifted_null,2000,1000,sub-002 sub-004 sub-009 sub-010 sub-014 sub-015 sub-020 sub-024,-0.02033950975514017,-0.021792825311422348,0.18,-0.0052176048122346405,-0.0071661570109426975,-0.6172826290130615,-0.6154189109802246
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,train_mean,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,1.3808895818674456e-09,2.2403106036961162e-09,0.39,0.0011042270480983562,0.004919527564197779,-0.00046935916179791093,-0.0004680024867411703
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,time_ridge,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,0.012710336399031803,0.014167298097163439,0.62,0.0022860633624942283,-0.0002788944111671299,-0.00043128550169058144,-0.00042993732495233417
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,eeg_bandpower_ridge,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,0.011688783919089474,0.008971854113042355,0.71,0.016744541952351807,0.019033709540963173,-0.28865525126457214,-0.2887609302997589
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,1,eeg_bandpower_shifted_null,1999,1001,sub-03 sub-06 sub-08 sub-11 sub-12 sub-18 sub-23 sub-24 sub-27 sub-28 sub-29,0.020296399671642575,0.0228262422606349,0.79,-0.005971704121915823,-0.0023522130213677883,-0.15189212560653687,-0.15205946564674377
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,2,train_mean,2000,1000,sub-01 sub-05 sub-07 sub-13 sub-16 sub-17 sub-19 sub-21 sub-25 sub-26 sub-33,1.82409564150918e-09,1.4402328218920957e-09,0.38,0.004276247508752931,0.013194853905588388,-0.0006348490715026855,-0.0006346539012156427
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,2,time_ridge,2000,1000,sub-01 sub-05 sub-07 sub-13 sub-16 sub-17 sub-19 sub-21 sub-25 sub-26 sub-33,0.01111841558944434,0.01081176707521081,0.6,0.0052476836616697255,0.007640637923032045,-0.0006005144095979631,-0.0006008280324749649
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,2,eeg_bandpower_ridge,2000,1000,sub-01 sub-05 sub-07 sub-13 sub-16 sub-17 sub-19 sub-21 sub-25 sub-26 sub-33,0.01251212983392179,0.01495067635551095,0.68,-0.008072739052483485,-0.01829888578504324,-0.5063485503196716,-0.5056777596473694
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,2,eeg_bandpower_shifted_null,2000,1000,sub-01 sub-05 sub-07 sub-13 sub-16 sub-17 sub-19 sub-21 sub-25 sub-26 sub-33,0.0028136305730731693,0.0016086774412542582,0.54,-0.003156197335469187,0.00047898544289637357,-0.28717905282974243,-0.2872212529182434
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,3,train_mean,2001,999,sub-02 sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-22 sub-30 sub-31 sub-32,5.843552469606035e-10,1.9814816454299944e-09,0.37,0.005714453557934881,-0.013799918815493584,-0.0005293071153573692,-0.0005245336797088385
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,3,time_ridge,2001,999,sub-02 sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-22 sub-30 sub-31 sub-32,-0.007331114645348862,-0.012594737578183413,0.36,0.0062941728696181394,-0.00852908194065094,-0.0005598044372163713,-0.0005555211682803929
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,3,eeg_bandpower_ridge,2001,999,sub-02 sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-22 sub-30 sub-31 sub-32,0.009395720452303066,0.011729206424206495,0.66,-0.018754291055555112,-0.01780659146606922,-0.30847808718681335,-0.3084351122379303
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,3,eeg_bandpower_shifted_null,2001,999,sub-02 sub-04 sub-09 sub-10 sub-14 sub-15 sub-20 sub-22 sub-30 sub-31 sub-32,-0.004874828807805898,-0.004261164227500558,0.44,0.0026429459251669906,0.0025919354520738125,-0.24380947649478912,-0.2435918003320694
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,train_mean,1894,1106,sub-09 sub-11 sub-12 sub-17 sub-20 sub-21 sub-26,4.943880969593249e-10,2.511105989810858e-09,0.43,-0.004389828113996075,-0.002121082623489201,-0.0007417630986310542,-0.0007420705514959991
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,time_ridge,1894,1106,sub-09 sub-11 sub-12 sub-17 sub-20 sub-21 sub-26,-0.011945103178441059,-0.01149500347673893,0.36,0.006594795007647055,0.010146078653633595,-0.0010002070339396596,-0.0010027217213064432
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,eeg_bandpower_ridge,1894,1106,sub-09 sub-11 sub-12 sub-17 sub-20 sub-21 sub-26,-0.010989912369768717,-0.008769542444497347,0.34,-0.00021136180741325523,-0.003112823120318353,-1.4257597923278809,-1.4267289638519287
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,1,eeg_bandpower_shifted_null,1894,1106,sub-09 sub-11 sub-12 sub-17 sub-20 sub-21 sub-26,-0.014068338072102051,-0.015589873306453228,0.23,-0.005863949725002875,-0.004007863579317927,-1.9038090705871582,-1.902719497680664
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,2,train_mean,2053,947,sub-02 sub-04 sub-07 sub-08 sub-14 sub-16,1.5741959560101652e-10,0.0,0.33,-0.0024979151325305745,0.0014866413548588753,-0.0008172726375050843,-0.0008185256738215685
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,2,time_ridge,2053,947,sub-02 sub-04 sub-07 sub-08 sub-14 sub-16,0.004277109132381156,0.007106439676135778,0.59,0.008036010688672624,0.009589429013431072,-0.0007766943890601397,-0.0007719003478996456
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,2,eeg_bandpower_ridge,2053,947,sub-02 sub-04 sub-07 sub-08 sub-14 sub-16,-0.006058146584546193,-0.006595875835046172,0.39,-0.003136611592660485,-0.0003729489981196821,-0.8074443340301514,-0.8059470653533936
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,2,eeg_bandpower_shifted_null,2053,947,sub-02 sub-04 sub-07 sub-08 sub-14 sub-16,-0.0018048551862011664,-0.0032026005210354924,0.43,0.00949603701465497,0.011100674979388714,-0.7772543430328369,-0.7776497602462769
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,3,train_mean,2053,947,sub-10 sub-13 sub-15 sub-18 sub-19 sub-22,9.76921749952021e-10,2.5538157699678266e-10,0.37,-0.006707233815386827,-0.01003186497837305,-0.000553842808585614,-0.00055364437866956
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,3,time_ridge,2053,947,sub-10 sub-13 sub-15 sub-18 sub-19 sub-22,-0.038211639267392454,-0.040496714413166046,0.14,0.017055582251717563,0.027623100206255913,-0.01021590270102024,-0.010191156528890133
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,3,eeg_bandpower_ridge,2053,947,sub-10 sub-13 sub-15 sub-18 sub-19 sub-22,-0.010629353068652562,-0.011808099690824747,0.32,-0.006732838864295882,-0.012337230145931244,-0.7207369208335876,-0.7206587791442871
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,3,eeg_bandpower_shifted_null,2053,947,sub-10 sub-13 sub-15 sub-18 sub-19 sub-22,0.006752898924751207,0.004937316291034222,0.56,0.0048453378551270515,0.0037844690959900618,-0.6525164842605591,-0.650262713432312
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,train_mean,1994,1006,sub-004 sub-009 sub-012 sub-017 sub-019 sub-020 sub-025 sub-026 sub-027 sub-029,5.583957577372153e-10,9.46513867283727e-10,0.37,0.007613952238921997,0.009712051134556532,-6.954908167244866e-05,-6.950783426873386e-05
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,time_ridge,1994,1006,sub-004 sub-009 sub-012 sub-017 sub-019 sub-020 sub-025 sub-026 sub-027 sub-029,0.10437734700739383,0.10703152418136597,0.96,0.04584636007696918,0.046408530324697495,0.01174268126487732,0.011760106310248375
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,eeg_bandpower_ridge,1994,1006,sub-004 sub-009 sub-012 sub-017 sub-019 sub-020 sub-025 sub-026 sub-027 sub-029,0.006894807231619779,0.0064310249872505665,0.64,0.010649780625555313,0.014219097327440977,-1.9835983514785767,-1.9858224391937256
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,1,eeg_bandpower_shifted_null,1994,1006,sub-004 sub-009 sub-012 sub-017 sub-019 sub-020 sub-025 sub-026 sub-027 sub-029,0.004201538508314115,0.003941451315768063,0.6,0.023251818651575308,0.014720904640853405,-0.9358046054840088,-0.9361212849617004
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,2,train_mean,1955,1045,sub-001 sub-006 sub-007 sub-008 sub-013 sub-014 sub-018 sub-022 sub-024,7.820574256627525e-10,4.57278187537824e-10,0.37,0.01560919317182902,0.020027147606015205,-3.9720536733511835e-05,-3.974718856625259e-05
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,2,time_ridge,1955,1045,sub-001 sub-006 sub-007 sub-008 sub-013 sub-014 sub-018 sub-022 sub-024,0.06864908688585274,0.06592592224478722,0.97,0.04324222903764967,0.04205556958913803,-0.0001596510410308838,-0.00013030947593506426
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,2,eeg_bandpower_ridge,1955,1045,sub-001 sub-006 sub-007 sub-008 sub-013 sub-014 sub-018 sub-022 sub-024,0.016274842937953053,0.0157709582708776,0.76,0.021468693193362393,0.028489401564002037,-0.9505765438079834,-0.9508588910102844
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,2,eeg_bandpower_shifted_null,1955,1045,sub-001 sub-006 sub-007 sub-008 sub-013 sub-014 sub-018 sub-022 sub-024,-0.011606766277836869,-0.012126731220632792,0.3,-0.01674624337812503,-0.028691699728369713,-1.2827626466751099,-1.2821320295333862
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,3,train_mean,2051,949,sub-002 sub-005 sub-010 sub-011 sub-015 sub-016 sub-021 sub-023 sub-028,1.1406055093014326e-09,1.0070622114000116e-09,0.4,-0.004401376850039917,0.0032387450337409973,-0.00011203169560758397,-0.00011192278907401487
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,3,time_ridge,2051,949,sub-002 sub-005 sub-010 sub-011 sub-015 sub-016 sub-021 sub-023 sub-028,0.09096993796993047,0.09050359204411507,0.95,0.04906529678118653,0.05783476680517197,0.007678195368498564,0.00769942719489336
