dataset,control,split,fold,n_train,n_test,n_classes,score_name,score,chance,aux_name,aux_score,interpretation
affective,spatial:temporal_autocorr_lag16,no_train,0,0,19170,1,lag_cosine,0.8463806774037788,0.6887124843581794,lag_minus_random,0.15766819304559931,temporally_smooth
affective,spatial:temporal_autocorr_lag64,no_train,0,0,18162,1,lag_cosine,0.7951978807979929,0.6894177076220154,lag_minus_random,0.10578017317597754,temporally_smooth
sleep,summary:subject_id_from_eeg,within_run_block,1,6775,2034,33,balanced_accuracy,0.9156628787878789,0.030303030303030304,accuracy,0.9139626352015733,above_chance
sleep,summary:run_id_from_eeg,within_run_block,1,6775,2034,33,balanced_accuracy,0.9156628787878789,0.030303030303030304,accuracy,0.9139626352015733,above_chance
sleep,summary:time_bin_from_eeg,within_run_block,1,6775,2034,8,balanced_accuracy,0.05504103317736154,0.125,accuracy,0.04768928220255654,near_chance
sleep,summary:time_frac_from_eeg,within_run_block,1,6775,2034,1,corr,0.09250142046525536,0.0,r2,-0.07655596733093262,weak
sleep,summary:subject_id_from_eeg,within_run_block,2,7050,1839,33,balanced_accuracy,0.8621022727272727,0.030303030303030304,accuracy,0.8450244698205547,above_chance
sleep,summary:run_id_from_eeg,within_run_block,2,7050,1839,33,balanced_accuracy,0.8621022727272727,0.030303030303030304,accuracy,0.8450244698205547,above_chance
sleep,summary:time_bin_from_eeg,within_run_block,2,7050,1839,8,balanced_accuracy,0.09813518063253987,0.125,accuracy,0.1528004350190321,near_chance
sleep,summary:time_frac_from_eeg,within_run_block,2,7050,1839,1,corr,0.24981218251868206,0.0,r2,-0.0018573999404907227,above_chance
sleep,summary:subject_id_from_eeg,within_run_block,3,7112,1761,33,balanced_accuracy,0.9163257575757575,0.030303030303030304,accuracy,0.9102782509937536,above_chance
sleep,summary:run_id_from_eeg,within_run_block,3,7112,1761,33,balanced_accuracy,0.9163257575757575,0.030303030303030304,accuracy,0.9102782509937536,above_chance
sleep,summary:time_bin_from_eeg,within_run_block,3,7112,1761,8,balanced_accuracy,0.0628270518655168,0.125,accuracy,0.07495741056218058,near_chance
sleep,summary:time_frac_from_eeg,within_run_block,3,7112,1761,1,corr,0.07734804978731859,0.0,r2,-0.07357585430145264,weak
sleep,summary:time_bin_from_eeg,subject_heldout,1,6182,3091,8,balanced_accuracy,0.14528318903318904,0.125,accuracy,0.14493691362018765,near_chance
sleep,summary:time_frac_from_eeg,subject_heldout,1,6182,3091,1,corr,0.22850798392633911,0.0,r2,-0.003980040550231934,above_chance
sleep,summary:time_bin_from_eeg,subject_heldout,2,6182,3091,8,balanced_accuracy,0.15271464646464647,0.125,accuracy,0.15302491103202848,near_chance
sleep,summary:time_frac_from_eeg,subject_heldout,2,6182,3091,1,corr,0.20385779257993644,0.0,r2,-0.052721619606018066,above_chance
sleep,summary:time_bin_from_eeg,subject_heldout,3,6182,3091,8,balanced_accuracy,0.1838654401154401,0.125,accuracy,0.1837593011970236,weak
sleep,summary:time_frac_from_eeg,subject_heldout,3,6182,3091,1,corr,0.3549808319763548,0.0,r2,0.08841085433959961,above_chance
sleep,summary:temporal_autocorr_lag1,no_train,0,0,9240,1,lag_cosine,0.9578505935978268,0.7081033508573548,lag_minus_random,0.249747242740472,temporally_smooth
sleep,summary:temporal_autocorr_lag4,no_train,0,0,9141,1,lag_cosine,0.8409384546010085,0.7074626184947734,lag_minus_random,0.13347583610623504,temporally_smooth
sleep,summary:temporal_autocorr_lag16,no_train,0,0,8745,1,lag_cosine,0.7928329014140678,0.7039381421563856,lag_minus_random,0.0888947592576822,temporally_smooth
sleep,summary:temporal_autocorr_lag64,no_train,0,0,7161,1,lag_cosine,0.7351626120111935,0.7080519755515886,lag_minus_random,0.027110636459604875,weak
sleep,spatial:subject_id_from_eeg,within_run_block,1,6775,2034,33,balanced_accuracy,0.9744318181818182,0.030303030303030304,accuracy,0.9734513274336283,above_chance
sleep,spatial:run_id_from_eeg,within_run_block,1,6775,2034,33,balanced_accuracy,0.9744318181818182,0.030303030303030304,accuracy,0.9734513274336283,above_chance
sleep,spatial:time_bin_from_eeg,within_run_block,1,6775,2034,8,balanced_accuracy,0.05881006864988558,0.125,accuracy,0.0471976401179941,near_chance
sleep,spatial:time_frac_from_eeg,within_run_block,1,6775,2034,1,corr,-0.055469185374641364,0.0,r2,-0.41493117809295654,weak
sleep,spatial:subject_id_from_eeg,within_run_block,2,7050,1839,33,balanced_accuracy,0.9054545454545454,0.030303030303030304,accuracy,0.8939641109298532,above_chance
sleep,spatial:run_id_from_eeg,within_run_block,2,7050,1839,33,balanced_accuracy,0.9054545454545454,0.030303030303030304,accuracy,0.8939641109298532,above_chance
