eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,residual_latent_corr_mean,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,best_epoch,best_val_mse,epochs_ran,trainable_params
natview,1,time_dataset_ridge,3763,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.008341649850335671,nan,0.008341649850335671,0.011480424553155899,0.62,0.004532277136287269,0.004481416894122958,-0.008332178927958012,-0.008332178927958012,0.0,nan,0.0,
natview,1,schaefer_spatial,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.003834351774130482,nan,-0.003834351774130482,-0.003850955399684608,0.38,0.0054265914170751476,0.0027892746729776263,-0.004104039166122675,-0.004104039166122675,3.0,0.9721015334129334,4.0,1385529
natview,1,schaefer_shifted_null,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.015851272217842053,nan,-0.015851272217842053,-0.015785652212798595,0.08,-0.004044270381940763,-0.0056705414317548275,-0.008663658052682877,-0.008663658052682877,3.0,0.97671306848526,4.0,1385529
natview,1,schaefer_residual,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.015281038600951433,0.01838512964124675,0.015281038600951433,0.01375510822981596,0.9,-0.002728140283918122,-0.004940938204526901,-0.004063585307449102,-0.00406358577311039,3.0,0.9766543102264404,4.0,1385529
natview,1,schaefer_residual_shifted_null,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.010824549780809321,-0.008361010981461732,-0.010824549780809321,-0.011356820352375507,0.26,0.0020606442094693498,0.005055895773693919,-0.011357520706951618,-0.011357522569596767,3.0,0.9741448616981506,4.0,1385529
