eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,residual_latent_corr_mean,pca_explained_variance,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,best_epoch,best_val_mse,epochs_ran
Affective_music_listening_OpenNeuro_ds002725,1,time_dataset_ridge,13002,6504,sub-04 sub-05 sub-06 sub-07 sub-15 sub-17 sub-18,0.13902531587518752,nan,0.8076364994049072,0.20016189888497138,0.17300289869308472,0.875,0.09129491637435452,0.10974214598536491,0.05226805433630943,0.05226805433630943,0.0,nan,0.0
Affective_music_listening_OpenNeuro_ds002725,1,single_labram_ridge,13002,6504,sub-04 sub-05 sub-06 sub-07 sub-15 sub-17 sub-18,0.0335785272764042,nan,0.8076364994049072,-0.03903474473008828,-0.03464410826563835,0.375,-0.06598593373489996,-0.08050084859132767,-0.27450236678123474,-0.27450236678123474,0.0,nan,0.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_labram_mlp,51846,6504,sub-04 sub-05 sub-06 sub-07 sub-15 sub-17 sub-18,0.03698359668487683,nan,0.8076364994049072,0.010507653954846319,-0.003978423774242401,0.453125,-0.003762492510022218,0.0014595863758586347,-0.011371255852282047,-0.011371258646249771,1.0,1.0034841502022094,6.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_labram_shifted_null,51846,6504,sub-04 sub-05 sub-06 sub-07 sub-15 sub-17 sub-18,-0.024652369203977287,nan,0.8076364994049072,-0.06650111662747804,-0.058986080810427666,0.125,-0.032075453426214116,-0.06387452781200409,-0.05637864023447037,-0.056378647685050964,4.0,1.004246183160014,9.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_labram_residual_mlp,51846,6504,sub-04 sub-05 sub-06 sub-07 sub-15 sub-17 sub-18,0.13383173802867532,0.022309052059426904,0.8076364994049072,0.17856520204077242,0.14642224460840225,0.8125,0.06246916120083119,0.06363171711564064,0.02957426756620407,0.029574265703558922,1.0,0.8977124843194867,6.0
Affective_music_listening_OpenNeuro_ds002725,1,pooled_labram_residual_shifted_null,51846,6504,sub-04 sub-05 sub-06 sub-07 sub-15 sub-17 sub-18,0.13603417109698057,-0.013813278870657086,0.8076364994049072,0.19059830590049387,0.15284781903028488,0.875,0.08344590616134816,0.08852338418364525,0.04339902848005295,0.043399035930633545,1.0,0.8931761333769147,6.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,time_dataset_ridge,3542,1932,sub-xp204 sub-xp205 sub-xp206 sub-xp207 sub-xp218 sub-xp219,0.2229512620542664,nan,0.8751996755599976,0.33449753022978257,0.2843973934650421,0.859375,0.3508544966367165,0.4239613264799118,0.142849862575531,0.1428498923778534,0.0,nan,0.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,single_labram_ridge,3542,1932,sub-xp204 sub-xp205 sub-xp206 sub-xp207 sub-xp218 sub-xp219,-0.01843913848279044,nan,0.8751996755599976,0.011074457305994656,0.004748306004330516,0.640625,-0.032454844539140326,-0.04111854173243046,-7.352815628051758,-7.352815628051758,0.0,nan,0.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_labram_mlp,56418,1932,sub-xp204 sub-xp205 sub-xp206 sub-xp207 sub-xp218 sub-xp219,0.059459138894453645,nan,0.8751996755599976,0.1271191038613324,0.13872436434030533,0.796875,0.019118944371814755,0.028427142649888992,0.008313089609146118,0.008313091471791267,1.0,0.9991348448740343,6.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_labram_shifted_null,56418,1932,sub-xp204 sub-xp205 sub-xp206 sub-xp207 sub-xp218 sub-xp219,0.019382285769097507,nan,0.8751996755599976,0.1336845350506337,0.14237450063228607,0.828125,0.015305876576847963,0.03309216350317001,0.00396142341196537,0.003961424343287945,1.0,1.0006478796428775,6.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_labram_residual_mlp,56418,1932,sub-xp204 sub-xp205 sub-xp206 sub-xp207 sub-xp218 sub-xp219,0.22588264840305783,0.028299080673605204,0.8751996755599976,0.33453669074424397,0.28514060378074646,0.859375,0.3529972620484875,0.4278429001569748,0.1413554549217224,0.1413554698228836,1.0,0.9174169847375615,6.0
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,1,pooled_labram_residual_shifted_null,56418,1932,sub-xp204 sub-xp205 sub-xp206 sub-xp207 sub-xp218 sub-xp219,0.22242113447282463,-0.0560558628058061,0.8751996755599976,0.33470274526098365,0.28557541966438293,0.84375,0.34281432741642426,0.4114518314599991,0.1408425271511078,0.14084255695343018,1.0,0.9102830434347814,6.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,time_dataset_ridge,5289,2620,sub-004 sub-005 sub-006 sub-007 sub-013 sub-018 sub-021 sub-024,0.2328910706564784,nan,0.7882498502731323,0.1507958430738654,0.12500273808836937,0.75,0.1513615728644344,0.1706061065196991,0.03049890324473381,0.030498886480927467,0.0,nan,0.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,single_labram_ridge,5289,2620,sub-004 sub-005 sub-006 sub-007 sub-013 sub-018 sub-021 sub-024,-0.002167568905861117,nan,0.7882498502731323,0.002638643097725435,0.0009372169297421351,0.5,0.008742293073654216,0.03254589065909386,-4.776068687438965,-4.776068687438965,0.0,nan,0.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_labram_mlp,55730,2620,sub-004 sub-005 sub-006 sub-007 sub-013 sub-018 sub-021 sub-024,0.03110353390366072,nan,0.7882498502731323,0.015943394046189496,0.008942242246121168,0.515625,0.022555628774414048,0.048826344311237335,0.00021503306925296783,0.00021503186144400388,1.0,1.0232374899057242,6.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_labram_shifted_null,55730,2620,sub-004 sub-005 sub-006 sub-007 sub-013 sub-018 sub-021 sub-024,0.07403257850091904,nan,0.7882498502731323,0.037753900895040715,0.032877761870622635,0.75,0.03053039746114163,0.07840205356478691,0.00047481153160333633,0.0004748111532535404,1.0,1.022252503138322,6.0
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,1,pooled_labram_residual_mlp,55730,2620,sub-004 sub-005 sub-006 sub-007 sub-013 sub-018 sub-021 sub-024,0.23261419590562582,-0.002266220224555582,0.7882498502731323,0.15009749653290783,0.12197902426123619,0.765625,0.14827433482012095,0.16749128699302673,0.029363032430410385,0.02936301752924919,1.0,0.9525317885178786,6.0
