eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,residual_latent_corr_mean,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,best_epoch,best_val_mse,epochs_ran,best_val_corr,best_selection_score,trainable_params
natview,1,time_dataset_ridge,3712,2034,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.009370083460671594,nan,-0.009370083460671594,-0.01116036856546998,0.34,-0.0020544324132350618,-0.001884064229670912,-6.672382005490363e-05,-6.690923328278586e-05,0.0,nan,0.0,,,
natview,1,schaefer_spatial,3712,2034,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.01134478519368713,nan,0.01134478519368713,0.01216212846338749,0.74,0.00021079665478147513,0.0024891680805012584,-0.0005108016775920987,-0.0005118282861076295,8.0,0.9924420118331909,12.0,0.17058415710926056,0.17058415710926056,1386937
natview,1,schaefer_shifted_null,3712,2034,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.017093719439581035,nan,-0.017093719439581035,-0.01697614323347807,0.14,-0.0017984304908035915,-0.005044492427259684,-0.00649225851520896,-0.0064906408078968525,12.0,0.9983713626861572,12.0,0.058395497500896454,0.058395497500896454,1386937
