split,method,target_mode,latent_corr_mean_mean,latent_corr_mean_std,row_corr_mean_mean,row_corr_mean_std,r2_mean,r2_std,retrieval_top1_mean,retrieval_top1_std,retrieval_top5_mean,retrieval_top5_std,retrieval_mrr_mean,retrieval_mrr_std,retrieval_rank_percentile_mean_mean,retrieval_rank_percentile_mean_std,diag_minus_offdiag_mean,diag_minus_offdiag_std
subject_heldout,cca_shared,real,-0.001236997391364,0.005165827019444118,0.0005497613858920332,0.004890353697767248,-1.661285302149425,0.11409000250105646,0.004076404813374833,0.0016336445369889586,0.01712343042808503,0.0020423061529703324,0.022595358626160935,0.001365746825015711,0.4990580226072983,0.004970044162900331,-0.0017945460160630666,0.003867965149234236
subject_heldout,cca_shared,shifted_null,-0.0002878629165934666,0.004632754975171208,-0.0013838529411206002,0.004685483629503835,-1.692978418645568,0.13330947288404976,0.0030614511383022006,0.0011747534930232832,0.0197320371300756,0.0025904643850745853,0.02255124216100397,0.0019022736197044155,0.49974389517729706,0.005862536589470897,-0.0008241041752780667,0.004828792240962111
subject_heldout,pls,real,-0.0009356240561828334,0.0029067300350283163,0.0048480587092002,0.005100445288331949,-0.0275478130415668,0.0029576584552012124,0.0060819707689601,0.0019073839450715543,0.02270885083975377,0.0026063489332676134,0.026126734726487997,0.0027687673486578813,0.498802668792316,0.0041889218664363445,0.0028850911206697006,0.0062551160355570155
subject_heldout,pls,shifted_null,-0.00023296168692846664,0.0023159069083758203,-0.0035221244527403332,0.004785517214288273,-0.030371035148764502,0.0027655489061951697,0.0044642092755214,0.0003532114287300047,0.021921939517543867,0.002520817958178168,0.025236682588870435,0.0010655179555924396,0.4987044797940839,0.0035891616430680793,-8.816917065323329e-05,0.0015843135013412827
subject_heldout,ridge,real,0.0012199077848436,0.002386892805430592,0.0027894463628412667,0.0037743128025698952,-0.011981422030818067,0.002405686765840226,0.005349315930303001,0.0004482965243137337,0.020642004086721566,0.0019021282819645957,0.02496983265924953,0.00042495088660562274,0.49787437077320923,0.0036997661001868716,-0.0014680050906478333,0.005430138610567126
subject_heldout,ridge,shifted_null,0.0009706816531812666,0.00416633912530823,-0.004020811234289968,0.014950360600897135,-0.011615955151362567,0.0018408776872241369,0.0042823612777085,0.0017706131707674662,0.018493785042241265,0.0022777298108684267,0.023621849731245103,0.0009813026831727888,0.5024199325810833,0.011165558047091498,0.003355089861435233,0.010485367312143508
subject_heldout,time_ridge,real,0.012229537241334234,0.005901621511347249,0.0105034329982309,0.014753563393696663,-0.0028891142635660665,0.006328807324444971,0.005293555776062934,0.00135093371940587,0.023130795423689798,0.0024989796124897123,0.025737054487011232,0.002133387104619091,0.5123038743684519,0.014039724373573056,0.012965770345932067,0.01608866247611735
subject_heldout,train_mean,real,,,,,-0.00010865398808382466,6.055196344573578e-05,0.0,0.0,0.0,0.0,0.007541331079016367,0.00026963803402736165,0.5,0.0,0.0,0.0
subject_heldout,ridge,real_minus_shifted,0.00024922613166233334,,0.006810257597131235,,-0.0003654668794554998,,0.0010669546525945012,,0.002148219044480301,,0.0013479829280044278,,-0.004545561807874077,,-0.004823094952083066,
subject_heldout,pls,real_minus_shifted,-0.0007026623692543667,,0.008370183161940534,,0.0028232221071977023,,0.0016177614934387002,,0.0007869113222098989,,0.0008900521376175689,,9.818899823210714e-05,,0.002973260291322934,
subject_heldout,cca_shared,real_minus_shifted,-0.0009491344747705333,,0.0019336143270126333,,0.03169311649614315,,0.0010149536750726335,,-0.002608606701990566,,4.411646515697226e-05,,-0.0006858725699987467,,-0.000970441840785,
within_run_random,cca_shared,real,0.040684674728254266,0.00951078514811027,0.03602057318340607,0.008193902987334571,-0.9354787002037585,0.009281826981880101,0.017938000696621333,0.00347875032313445,0.08411703239289443,0.002277376668516527,0.07357110241456617,0.0023998674543314457,0.5500901823947572,0.00838638282335162,0.04711154410656174,0.007748340893713822
within_run_random,cca_shared,shifted_null,0.0021862106871897336,0.00695911083049664,0.0028854549607238342,0.0093165476102654,-1.0042612311629513,0.0032021257456515237,0.010101010101010032,0.0023559298604090505,0.060257749912922265,0.0033589866809449454,0.05734514475747537,0.002995136312022454,0.4997883947872026,0.007452451538714038,0.0006723165427332331,0.006411636327561255
within_run_random,pls,real,0.020957778460721433,0.004934534193597667,0.023255196390285404,0.011584344229757267,-0.012475673190546667,0.004281122698632755,0.015151515151515102,0.0010449320794147995,0.0752351097178683,0.003262799372203951,0.06773707304652976,0.0007244128325569803,0.5289702258506802,0.01025316382897796,0.028418762909614398,0.00977712591598801
within_run_random,pls,shifted_null,0.0014012251482805997,0.00315137029039586,0.0008755569691336664,0.007042148986624738,-0.021103252690439365,0.0007269640797912826,0.011145942180424867,0.0021751995814692903,0.05590386624869379,0.0026123301985370995,0.0570484126727946,0.0015905466533465114,0.49411745230706555,0.004012563930809928,-0.0031452493631527662,0.006085305508752002
within_run_random,ridge,real,0.020633335157754066,0.003885789964606096,0.021329338515973333,0.004564230288493265,-0.004466862679794233,0.0010603006451765096,0.01706722396377563,0.0028775185722498017,0.0783699059561128,0.002394240175003068,0.0710299348383724,0.003930342558306327,0.5348459024382546,0.0039758028964918925,0.03353014874572117,0.002029404726990239
within_run_random,ridge,shifted_null,0.0016647804391898668,0.0014385296428562682,0.005880598018310167,0.007475547267505476,-0.008367363907332332,0.0006462544011167839,0.010971786833855766,0.0010449320794148503,0.058516196447230905,0.0020898641588297006,0.057621267057646364,0.0011074503736233415,0.4983389438011882,0.005626876887442776,-0.0018372881451926334,0.00464335759965983
within_run_random,time_ridge,real,0.017332487430318535,0.0011883418057900825,0.02237659273978873,0.00513128027573217,-6.280498395036666e-05,0.00028876913926920405,0.016370602577499064,0.003358986680944942,0.0752351097178683,0.008408295161667226,0.068205979550599,0.003235401311755463,0.524350189000325,0.010654451874801397,0.0255030151438308,0.0052172916457573475
within_run_random,train_mean,real,,,,,-0.0010346170412671334,0.0003794576508590688,0.0,0.0,0.0,0.0,0.022725124506505,0.0,0.5,0.0,0.0,0.0
within_run_random,ridge,real_minus_shifted,0.0189685547185642,,0.015448740497663167,,0.0039005012275380984,,0.006095437129919865,,0.0198537095088819,,0.013408667780726038,,0.03650695863706649,,0.0353674368909138,
within_run_random,pls,real_minus_shifted,0.019556553312440834,,0.02237963942115174,,0.008627579499892705,,0.004005572971090235,,0.01933124346917451,,0.010688660373735163,,0.03485277354361466,,0.031564012272767165,
within_run_random,cca_shared,real_minus_shifted,0.03849846404106453,,0.033135118222682225,,0.06878253095919262,,0.007836990595611302,,0.02385928247997217,,0.016225957657090805,,0.05030178760755455,,0.046439227563828504,
