dataset,subject,run,windows,n_time_latent_grid,source_tr_sec,latent_tr_sec,latent_shape,finite_frac,latent_mean,latent_std,preprocess_kind,volume_source,status
Affective_music_listening_OpenNeuro_ds002725,sub-01,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,925,2325,2.0,0.8,"(925, 8, 288)",1.0,0.0007371049141511321,1.0011591911315918,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-01/func/sub-01_task-classicalMusic_bold.nii.gz,ok
Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338,sub-xp201,sub-xp201_ses-nosession_1dNF_1dNF_run-01,322,415,1.0,0.8,"(322, 8, 288)",1.0,-0.0005364756798371673,0.9997031092643738,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP2_OpenNeuro_ds002338/sub-xp201/func/sub-xp201_task-1dNF_run-01_bold.nii.gz,ok
Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216,sub-001,sub-001_ses-001_ExperienceSampling_ExperienceSampling_run-001,288,732,2.0,0.8,"(288, 8, 288)",1.0,0.0010358903091400862,1.0027055740356445,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Multi_session_EEG_fMRI_experience_sampling_OpenNeuro_ds007216/sub-001/ses-001/func/sub-001_ses-001_task-ExperienceSampling_run-001_bold.nii.gz,ok
Sleep_rest_EEG_fMRI_OpenNeuro_ds003768,sub-01,sub-01_ses-nosession_rest_rest_run-1,281,751,2.1,0.8,"(281, 8, 288)",1.0,-0.0005336445174179971,1.0016242265701294,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Sleep_rest_EEG_fMRI_OpenNeuro_ds003768/sub-01/func/sub-01_task-rest_run-1_bold.nii.gz,ok
Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158,sub-02,sub-02_ses-001_main_main_run-001,367,600,1.28,0.8,"(367, 8, 288)",1.0,0.0002416294883005321,1.0116753578186035,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Speeded_perceptual_judgments_confidence_OpenNeuro_ds002158/sub-02/ses-001/func/sub-02_ses-001_task-main_run-001_bold.nii.gz,ok
gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040,sub-001,sub-001_ses-nosession_CBOFF_CBOFF_run-1,150,475,2.0,0.8,"(150, 8, 288)",1.0,-0.0004875386948697269,1.0026683807373047,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/gradCPT_simultaneous_EEG_fMRI_DTI_OpenNeuro_ds006040/sub-001/func/sub-001_task-CB_run-1_bold.nii.gz,ok
natview,sub-01,sub-01_ses-01_rest,282,756,2.0999999046325684,0.8,"(282, 8, 288)",1.0,-0.0002795795153360814,1.0007025003433228,mni152_2mm_tr0p8_crop96_bgmin_runznorm_v2,/home/sudaxin/projects/paired_data/downloads/paired_datasets/NatView_NKI_EEG_fMRI_Naturalistic_Viewing/sub-01/ses-01/func/sub-01_ses-01_task-rest_bold/func_preproc/func_pp_filter_sm0.mni152.3mm.nii.gz,ok
