dataset,control,split,fold,n_train,n_test,n_classes,score_name,score,chance,aux_name,aux_score,interpretation
natview_neurostorm,subject_id_from_eeg,within_run_block,1,4116,1369,22,balanced_accuracy,0.9495738636363636,0.045454545454545456,accuracy,0.9481373265157049,above_chance
natview_neurostorm,run_id_from_eeg,within_run_block,1,4116,1369,22,balanced_accuracy,0.9488636363636364,0.045454545454545456,accuracy,0.9474068663257852,above_chance
natview_neurostorm,time_bin_from_eeg,within_run_block,1,4116,1369,8,balanced_accuracy,0.0490658438231986,0.125,accuracy,0.04894083272461651,near_chance
natview_neurostorm,time_frac_from_eeg,within_run_block,1,4116,1369,1,corr,-0.5027534938053928,0.0,r2,-0.6201236248016357,above_chance
natview_neurostorm,subject_id_from_eeg,within_run_block,2,4247,1270,22,balanced_accuracy,0.9637152777777778,0.045454545454545456,accuracy,0.9614173228346456,above_chance
natview_neurostorm,run_id_from_eeg,within_run_block,2,4247,1270,22,balanced_accuracy,0.961758207070707,0.045454545454545456,accuracy,0.9582677165354331,above_chance
natview_neurostorm,time_bin_from_eeg,within_run_block,2,4247,1270,8,balanced_accuracy,0.0372759007939225,0.125,accuracy,0.03622047244094488,near_chance
natview_neurostorm,time_frac_from_eeg,within_run_block,2,4247,1270,1,corr,-0.4606842329937881,0.0,r2,-0.5197436809539795,above_chance
natview_neurostorm,subject_id_from_eeg,within_run_block,3,4254,1255,22,balanced_accuracy,0.9559659090909091,0.045454545454545456,accuracy,0.950597609561753,above_chance
natview_neurostorm,run_id_from_eeg,within_run_block,3,4254,1255,22,balanced_accuracy,0.9559659090909091,0.045454545454545456,accuracy,0.950597609561753,above_chance
natview_neurostorm,time_bin_from_eeg,within_run_block,3,4254,1255,8,balanced_accuracy,0.05988587154249794,0.125,accuracy,0.06374501992031872,near_chance
natview_neurostorm,time_frac_from_eeg,within_run_block,3,4254,1255,1,corr,-0.30524292711783124,0.0,r2,-0.519889235496521,above_chance
natview_neurostorm,time_bin_from_eeg,subject_heldout,1,3613,2198,8,balanced_accuracy,0.13446579382471402,0.125,accuracy,0.13466787989080983,near_chance
natview_neurostorm,time_frac_from_eeg,subject_heldout,1,3613,2198,1,corr,0.03087042661050291,0.0,r2,-0.08086097240447998,near_chance
natview_neurostorm,time_bin_from_eeg,subject_heldout,2,4090,1721,8,balanced_accuracy,0.12435675347421682,0.125,accuracy,0.12492736780941313,near_chance
natview_neurostorm,time_frac_from_eeg,subject_heldout,2,4090,1721,1,corr,0.05338725348829208,0.0,r2,-0.06211733818054199,weak
natview_neurostorm,time_bin_from_eeg,subject_heldout,3,3919,1892,8,balanced_accuracy,0.13571368082854662,0.125,accuracy,0.13583509513742073,near_chance
natview_neurostorm,time_frac_from_eeg,subject_heldout,3,3919,1892,1,corr,-0.016807795385663498,0.0,r2,-0.16871416568756104,near_chance
natview_neurostorm,temporal_autocorr_lag1,no_train,0,0,5789,1,lag_cosine,0.6684455872259197,0.4444127100688712,lag_minus_random,0.22403287715704856,temporally_smooth
natview_neurostorm,temporal_autocorr_lag4,no_train,0,0,5723,1,lag_cosine,0.5266942538997081,0.4415326969330887,lag_minus_random,0.08516155696661942,temporally_smooth
natview_neurostorm,temporal_autocorr_lag16,no_train,0,0,5459,1,lag_cosine,0.4890508501685819,0.44360413687759176,lag_minus_random,0.04544671329099015,weak
natview_neurostorm,temporal_autocorr_lag64,no_train,0,0,4403,1,lag_cosine,0.4471489591030104,0.440443889428218,lag_minus_random,0.006705069674792397,near_random
