dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,residual_status,residual_reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,residual_row_corr,n_samples,n_runs,n_subjects,target_dim
affective,Z_masked100,confounded,rank<0.52|diag<0.02|shifted_close,0.5077736627720286,0.5033126286448946,0.5024909449567729,0.5,0.004461034127134056,0.005282717815255689,0.011931904749376608,0.01013270556898962,0.0035806512986103676,confounded,rank<0.52|diag<0.02|shifted_close,0.5072061026045486,0.5026123689755261,0.0045937336290224895,0.011278589741950366,0.00865137628822977,19506,21,21,100
natview,Z_masked100,confounded,rank<0.52|diag<0.02|shifted_close,0.49497569914108297,0.5001729930443658,0.4879308578646391,0.5,-0.005197293903282829,0.007044841276443892,-0.00551366219189307,0.0012606287545840389,0.002134201152178624,confounded,rank<0.52|diag<0.02|shifted_close,0.49416698301067924,0.49729245189820775,-0.0031254688875285153,-0.0075140861042182734,-0.0007483179152626245,5811,22,22,100
experience,Z_masked100,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5100992946330016,0.49986042140574233,0.5951310773061683,0.5,0.010238873227259304,-0.08503178267316669,0.014010614741209302,0.016568229505451545,0.0028417899814883185,confounded,rank<0.52|diag<0.02|shifted_close,0.5045542220350465,0.49673925856082896,0.007814963474217562,0.005815726002901508,0.011762786261142202,7909,24,24,100
sleep,Z_masked100,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5098797594328875,0.4993212018038235,0.5120584480068096,0.5,0.010558557629064047,-0.002178688573922005,0.015406792024313812,0.020472643135205925,0.0014953078213011395,confounded,rank<0.52|diag<0.02|shifted_close,0.5058022414526883,0.4988590687696945,0.00694317268299377,0.010016689660184023,0.010520463439543179,9273,33,33,100
xp2,Z_masked76,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5063936613371371,0.49802407632132356,0.5289004563099217,0.5,0.008369585015813585,-0.022506794972784516,0.0059247124649378065,-0.01858251588497396,0.003616046745416194,confounded,rank<0.52|diag<0.02|shifted_close,0.5053936353163535,0.5014283044620913,0.003965330854262206,0.004778073600849825,-0.0021340811831746524,5474,17,17,76
gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5055398102774867,0.5032533427770681,0.5483464846407119,0.5,0.0022864675004186097,-0.04280667436322516,0.00428791949942079,0.006357582969460853,-0.00040230935883300845,fail,rank<0.52|diag<0.02,0.5059390827739012,0.49281327502757993,0.013125807746321272,0.001716935422110986,0.00030757371158466755,3113,28,28,100
speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5028407221174942,0.4986589059067903,0.5080786952732964,0.5,0.004181816210703904,-0.005237973155802211,0.0029539403472373985,0.005139911207195756,1.0498077169055856e-05,confounded,rank<0.52|diag<0.02|shifted_close,0.5020311700558369,0.5002086997142836,0.0018224703415532506,0.0021991852424197342,0.005396016693485668,6883,19,19,100
natview_neurostorm,Z_neurostorm,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5019654450876413,0.5001438311483778,0.5047954113990891,0.5,0.0018216139392635,-0.002829966311447829,0.0013073127306382712,0.0017500885810161997,0.0006074227682499137,confounded,rank<0.52|diag<0.02|shifted_close,0.49893962529159847,0.4959149514194503,0.0030246738721481647,-0.0009201527720365286,-0.00018660813724217148,5811,22,22,2304
