dataset,subjects,runs,windows,target_dim,roi_mask_mean,subject_resid_rank,subject_resid_gap,subject_resid_diag,subject_gate,within_resid_rank,within_resid_gap,within_resid_diag,within_gate,waveform_best_lag,waveform_best_resid_rank,waveform_best_gap,waveform_best_diag,waveform_nested_resid_rank,waveform_nested_gap,waveform_nested_diag,waveform_gate,adapt_best_resid_rank,adapt_best_gap,adapt_best_diag,adapt_best_calib_frac,adapt_best_le20_rank,adapt_first_strict_calib,adapt_first_soft_calib,adapt_gate,final_gate
gradcpt,28,28,3113,100,1.0,0.5059390827739012,0.0131258077463212,0.0017169354221109,fail,0.489203700507917,-0.022567142717137,-0.0044052133111489,fail,,,,,,,,not_run,,,,,,,,not_run,exclude_or_reprocess
natview,22,22,5827,100,1.0,0.4941669830106792,-0.0031254688875285,-0.0075140861042182,fail,0.4952215039200675,-0.0169464067153026,-0.0011675582172874,fail,,,,,,,,not_run,,,,,,,,not_run,exclude_or_reprocess
speeded,19,19,6883,100,1.0,0.5020311700558369,0.0018224703415532,0.0021991852424197,fail,0.5049558906639161,0.0072243826689358,0.0044826390695057,fail,,,,,,,,not_run,,,,,,,,not_run,exclude_or_reprocess
affective,21,21,19506,100,1.0,0.5072061026045486,0.0045937336290224,0.0112785897419503,fail,0.5242540071584191,0.0241582049486462,0.0387175622965492,pass,-4.0,0.5632284858387799,0.0728271864301275,0.0837847903633184,0.56322848583878,0.0728271864301276,0.08378479036331839,within_run_pass,0.5374289097119817,0.0448718279559451,0.0493758867554382,0.4,0.5234284305158975,0.3,0.2,late_subject_adapt,weak_late_calibration_only
experience,24,24,7909,100,1.0,0.5045542220350465,0.0078149634742175,0.0058157260029015,fail,0.5419397304927939,0.0428762106858614,0.081259550401243,pass,-4.0,0.5380231134323156,0.0477010756481729,0.0484228903484187,0.5380231134323156,0.04770107564817291,0.048422890348418735,within_run_pass,0.5348655695631543,0.0256177383310949,0.0457416428441402,0.4,0.5274506480422391,0.4,0.2,late_subject_adapt,weak_late_calibration_only
sleep,33,33,9273,100,1.0,0.5058022414526883,0.0069431726829937,0.010016689660184,fail,0.5165669592752926,0.0182780182780182,0.031166786334653,fail,-8.0,0.5325276575276575,0.0297118005451337,0.045035541671563,0.5233134920634921,0.019012045053711634,0.03772868092878393,soft_within_run,0.52306119667439,0.0216005633546861,0.035270811048543,0.4,0.5183272000363455,,0.4,soft_only,within_run_only_or_stress_control
xp2,17,17,5474,76,0.8682353005689734,0.5053936353163535,0.0039653308542622,0.0047780736008498,fail,0.5492082062580486,0.034876886859585,0.0641289900829515,pass,-8.0,0.5460832200722611,0.0325371448904466,0.0502547931518041,0.5408378568921578,0.03395214331272817,0.045066893941400704,within_run_pass,0.5193446348504392,0.0117658620477858,0.0228889211394633,0.4,0.5125305570910877,,,fail,within_run_only_or_stress_control
