dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,n_samples,n_runs,n_subjects,target_dim
gradcpt,Z_masked100,confounded,rank<0.52|diag<0.02|shifted_close,0.509170385953635,0.5178026813258924,0.4979460222499799,0.5000000000000001,-0.008632295372257404,0.011224363703655038,0.0036271165109882397,-0.026935970395420523,-0.0026010644069174305,3113,28,28,100
affective,Z_masked100,fail,rank<0.52,0.5174625058356676,0.49671342495331466,0.5080041044195457,0.5,0.02074908088235289,0.009458401416121864,0.032857943413283616,0.03569607374578682,0.011280688363207503,19506,21,21,100
sleep,Z_masked100,fail,rank<0.52,0.5118120691037358,0.494834255250922,0.5006237974987974,0.49999749478916145,0.016977813852813772,0.011188271604938405,0.022747038587759772,0.02613709307357427,0.005050517417960994,9273,33,33,100
experience,Z_masked100,time_dominated,time_beats_real,0.5305705133493027,0.49090787443380496,0.5913679199622373,0.5,0.03966263891549776,-0.060797406612934535,0.04892639948740828,0.03695101923064784,0.030918794979394686,7909,24,24,100
xp2,Z_masked76,time_dominated,rank<0.52|time_beats_real,0.5178531989012287,0.5014794333719071,0.5219550505754832,0.5,0.01637376552932157,-0.004101851674254475,0.025186474186706925,0.017334901168317454,0.03521788580534727,5474,17,17,76
natview_neurostorm,Z_neurostorm,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5119904991305392,0.4842661531138586,0.5135398012006592,0.5,0.027724346016680557,-0.001549302070120051,0.013099768110721102,0.005859051733759074,-0.002908991125271617,5811,22,22,2304
speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|time_beats_real,0.5051990053189219,0.4929656714744961,0.5087336311526589,0.5,0.01223333384442582,-0.003534625833736982,0.0038157202706196286,0.00950644978021877,0.0085639958003109,6883,19,19,100
natview,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4898198660034121,0.4979235244953328,0.5041588542077248,0.5,-0.008103658491920684,-0.014338988204312675,-0.013589808868729283,-0.008399220824132315,-0.00837832681910792,5811,22,22,100
