fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
1,real_eeg_ridge,Z_masked100,12736,6371,32,16,0.005003634698823589,0.0033901252318173647,0.012281796777752804,0.016420898959040642,-0.4604974532567343,0.001098728614032334,0.0047088369172814315,0.008245923753241048,439.0,0.511725426122967,0.012459837945018797,affective_tf_lagm4
1,shifted_null_ridge,Z_masked100,12736,6371,32,16,-0.0016554495418859005,-0.0010520300202188082,0.0031657148510620932,0.010998053476214409,-0.48525086646924787,0.0007848061528802386,0.00549364307016167,0.007761994964047066,440.0,0.5065754541253826,0.005716483624709015,affective_tf_lagm4
1,time_only_ridge,Z_masked100,12736,6371,32,16,0.0014370159319128106,0.0007660221308469772,0.0035375823558190275,0.005322501994669437,-1.3982264821299495e-05,0.0009417673834562863,0.005179720609009575,0.007932256900541633,455.0,0.500352258883568,0.001230533584483152,affective_tf_lagm4
1,train_mean,Z_masked100,12736,6371,32,16,-1.8603191533535697e-09,-1.2654405301404381e-09,-0.005033262784917326,-0.01239563524723053,-1.8478764081120147e-06,0.001098728614032334,0.00549364307016167,0.008121105791108191,456.0,0.5,1.9360753080098294e-19,affective_tf_lagm4
1,time_residual_eeg_ridge,Z_masked100_time_resid,12736,6371,32,16,0.004985966264484887,0.003355576191097498,0.011648243747580035,0.014089358039200306,-0.4592679984684984,0.001098728614032334,0.005336681839585623,0.008265233981995766,439.0,0.5120043523719836,0.012779450026696105,affective_tf_lagm4
1,time_residual_shifted_null,Z_masked100_time_resid,12736,6371,32,16,-0.0009855479429461411,-9.920113370753825e-06,0.007596873049974186,0.011554854921996593,-0.628371286613997,0.0014126510751844294,0.005650604300737718,0.008854949275170361,446.0,0.5079677817771687,0.008678933574311638,affective_tf_lagm4
1,time_residual_mean,Z_masked100_time_resid,12736,6371,32,16,-4.062761650912096e-09,-5.937035751912845e-09,-0.0020998750133303127,-0.00189338275231421,-1.9094492360594018e-06,0.001098728614032334,0.00549364307016167,0.008121105791108191,456.0,0.5,-2.7879484435341545e-19,affective_tf_lagm4
2,real_eeg_ridge,Z_masked100,12742,6365,32,16,0.007277482923200296,0.008144435472786427,0.027136775968610662,0.031522274017333984,-0.2434949410995222,0.0012568735271013354,0.006284367635506678,0.008775313966288792,434.0,0.5186084336140792,0.02378942045934306,affective_tf_lagm4
2,shifted_null_ridge,Z_masked100,12742,6365,32,16,-0.002347452280446305,-0.003391365986317396,-0.0021445506836328325,-0.007875395938754082,-0.20447118683633447,0.0007855459544383347,0.0050274941084053415,0.007589731964704995,454.0,0.5020627408392626,0.005951615035164808,affective_tf_lagm4
2,time_only_ridge,Z_masked100,12742,6365,32,16,0.0001447675501822232,0.0006186187383718789,-0.01170860636131581,-0.018833588808774948,-4.556275569522761e-05,0.0014139827179890023,0.0054988216810683424,0.00837405966223135,467.0,0.4946053908263387,-0.0074943557118378745,affective_tf_lagm4
2,train_mean,Z_masked100,12742,6365,32,16,-8.837456163693754e-11,4.99973284995292e-10,-0.0026030984014212095,-0.0018193993018940091,-1.6067470522962424e-06,0.0010997643362136685,0.0054988216810683424,0.008127724356745065,455.0,0.5,1.781189283369043e-19,affective_tf_lagm4
2,time_residual_eeg_ridge,Z_masked100_time_resid,12742,6365,32,16,0.007295402946283502,0.008013180457055569,0.02809834344856125,0.0321427658200264,-0.24511271982776428,0.0010997643362136685,0.006441476826394344,0.00889900183969002,433.0,0.5189407646017309,0.024409897354426096,affective_tf_lagm4
2,time_residual_shifted_null,Z_masked100_time_resid,12742,6365,32,16,-0.0014738260206286213,-0.005852445960044861,-0.006728196408791968,-0.004772738553583622,-0.2287422936912702,0.0014139827179890023,0.0054988216810683424,0.008090394560803996,457.0,0.49678373782879215,-0.006501727058915843,affective_tf_lagm4
2,time_residual_mean,Z_masked100_time_resid,12742,6365,32,16,8.039652721336666e-10,1.5842296363643982e-09,-0.004354807347751431,-0.008919043466448784,-1.6066764292332891e-06,0.0010997643362136685,0.0054988216810683424,0.008127724356745065,455.0,0.5,5.575896887068309e-19,affective_tf_lagm4
3,real_eeg_ridge,Z_masked100,12736,6371,32,16,0.00683087612833333,0.0072219891007989645,0.012707712508749342,0.01220689620822668,-0.3618753896919191,0.0012556898446083817,0.006749332914770052,0.008852333552133423,440.0,0.5118535017357186,0.01613892602988007,affective_tf_lagm4
3,shifted_null_ridge,Z_masked100,12736,6371,32,16,0.0008092797179415356,0.00042967707850039005,-0.004965723741382709,-0.009513193741440773,-0.23504033815531122,0.0009417673834562863,0.005022759378433527,0.007830530885359172,459.0,0.4985689774836449,-0.0039237356970380196,affective_tf_lagm4
3,time_only_ridge,Z_masked100,12736,6371,32,16,0.0030555679281292214,0.004453218774870038,-0.0022631877298038847,-0.001065008924342692,-9.442763094824613e-05,0.0012556898446083817,0.006121487992465861,0.008335959191741946,451.0,0.5003199947254924,-0.000566274789271462,affective_tf_lagm4
3,train_mean,Z_masked100,12736,6371,32,16,8.489970670932934e-10,2.3176307539785057e-09,-0.00280439078536157,-0.0012848007027059793,-1.1862767708148425e-06,0.001098728614032334,0.00549364307016167,0.008121105791108191,456.0,0.5,-5.266124837786735e-19,affective_tf_lagm4
3,time_residual_eeg_ridge,Z_masked100_time_resid,12736,6371,32,16,0.0067938904173345804,0.006595992017537355,0.013702593888351816,0.012041996233165264,-0.3604341463079035,0.0012556898446083817,0.007063255375922148,0.009026749009295953,439.0,0.5122527406398785,0.01671452434814123,affective_tf_lagm4
3,time_residual_shifted_null,Z_masked100_time_resid,12736,6371,32,16,0.0020013457942695823,0.0017343832296319306,0.004954521420769686,0.010008057579398155,-0.23372562220939574,0.001098728614032334,0.0047088369172814315,0.007993989633930184,447.0,0.5055425061928851,0.004134571702633399,affective_tf_lagm4
3,time_residual_mean,Z_masked100_time_resid,12736,6371,32,16,9.436465729188252e-10,1.1508213826338931e-10,-0.009373188419779924,-0.019141407683491707,-1.1861661710632632e-06,0.001098728614032334,0.00549364307016167,0.008121105585038965,456.0,0.4999998273253789,-1.4249514266952343e-18,affective_tf_lagm4
1,real_eeg_ridge,Z_masked100,4970,2483,32,16,0.011222583024732558,0.011347341816872358,0.017684469406536705,0.016851596534252167,-1.764268668442289,0.002013693113169553,0.017317760773258157,0.019683901793137275,155.0,0.5033526275770681,0.007642214265308746,experience_tf_lagm4
1,shifted_null_ridge,Z_masked100,4970,2483,32,16,-0.0007256903645611601,-0.003034105757251382,0.008216254800796078,0.024160826578736305,-1.070065174266042,0.0012082158679017317,0.01369311316955296,0.018587456203320293,151.0,0.5061571171693965,0.007356599326888737,experience_tf_lagm4
1,time_only_ridge,Z_masked100,4970,2483,32,16,0.06180666385625955,0.04625839367508888,0.14126924472261088,0.1532752960920334,0.020663670966457715,0.00644381796214257,0.03221908981071285,0.03199440904245686,112.0,0.6029413923214162,0.15120595098380676,experience_tf_lagm4
1,train_mean,Z_masked100,4970,2483,32,16,-1.9011036583355626e-09,-3.3956164546822265e-09,0.009587619900742564,0.013727778568863869,-2.0511236903164587e-05,0.003221908981071285,0.016109544905356425,0.020322570275463265,156.0,0.5,-3.7947076036992655e-19,experience_tf_lagm4
1,time_residual_eeg_ridge,Z_masked100_time_resid,4970,2483,32,16,0.005517004326065944,0.004732916597276926,0.005300980924466488,0.0037489065434783697,-2.0225363942851144,0.0024164317358034634,0.015706806282722512,0.01970369730015846,157.0,0.49692912285979357,-0.0025406870468466587,experience_tf_lagm4
1,time_residual_shifted_null,Z_masked100_time_resid,4970,2483,32,16,-0.0003055247179872822,0.0030652735149487853,-0.0005188881652672915,0.007337894756346941,-1.7649173636689501,0.004027386226339106,0.014901329037454692,0.020100803236187008,153.0,0.4996678294202034,-0.0036441142435145405,experience_tf_lagm4
1,time_residual_mean,Z_masked100_time_resid,4970,2483,32,16,2.025503147922652e-09,5.747323506000157e-09,-0.00142170762150762,-0.0033951010555028915,-2.117631819875676e-05,0.003221908981071285,0.016109544905356425,0.020322570275463265,156.0,0.5,-7.589415207398531e-19,experience_tf_lagm4
2,real_eeg_ridge,Z_masked100,5006,2447,32,16,0.008187714520317968,0.00679156556725502,0.023161893775124287,0.02403974160552025,-1.2598123081975934,0.0028606456885982836,0.017572537801389457,0.021361706335817753,150.0,0.507677214892013,0.01322876427099174,experience_tf_lagm4
2,shifted_null_ridge,Z_masked100,5006,2447,32,16,-0.001456871637799395,0.00039292703240789706,-0.020888032742293,-0.018880901858210564,-1.316115426537301,0.004086636697997548,0.016755210461789946,0.021315042174429834,152.0,0.49709938585695623,-0.00849573881190814,experience_tf_lagm4
2,time_only_ridge,Z_masked100,5006,2447,32,16,0.06056560618162621,0.0599690955132246,0.14406218378399097,0.15369540452957153,0.015936939186641297,0.0073559460563955865,0.03351042092357989,0.03521958109493383,98.0,0.6421343553836701,0.14556132239008085,experience_tf_lagm4
2,train_mean,Z_masked100,5006,2447,32,16,5.5490899529707525e-09,5.617953657832686e-09,-0.005234347185736364,-0.006994175259023905,-2.1669673395230404e-05,0.0032693093583980384,0.016346546791990192,0.020589435995856623,153.0,0.5,-1.4162390878091902e-18,experience_tf_lagm4
