model,n_test,grid_corr_mean,grid_corr_median,grid_corr_positive_frac,spatial_corr_mean,spatial_corr_median,rmse,r2_weighted,chosen_alpha,pca_components,pca_explained_variance,latent_corr_mean
train_mean,1782,-1.5226571021744042e-09,-2.298238488407378e-09,0.45703125,-0.0046027497725074865,-0.006827340926975012,1.0,-2.328304882226462e-09,,,,
schedule_or_time_ridge,1782,0.43543633147498895,0.42691342532634735,0.91015625,0.24740740717791113,0.24968457967042923,0.850698709487915,0.2763116955757141,6.30957344480193,16.0,0.610919713973999,0.10416535357944667
eeg_ridge,1782,0.035031273102731575,0.025691251270473003,0.734375,0.018645883299024807,0.02639317326247692,2.8161840438842773,-6.930893898010254,2.1544346900318843,16.0,0.610919713973999,-0.009570931870257482
eeg_shifted_null,1782,-0.04624664898841502,-0.04335682466626167,0.12890625,-0.02767925451322619,-0.018016554415225983,2.1782171726226807,-3.7446303367614746,2.1544346900318843,16.0,0.6109196543693542,-0.010657321487087756
eeg_plus_schedule_ridge,1782,0.23979353319691654,0.14081121236085892,0.84765625,0.05449148808186331,0.05964868515729904,2.0882863998413086,-3.3609402179718018,2.1544346900318843,16.0,0.610919713973999,0.04972911442746408
