method,target_mode,retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2
longctx_lowrank_transformer,time_residual,0.5309551356205539,0.026860615802973765,0.012868950197825767,0.019645601308244866,-0.0040164603345158
longctx_lowrank_transformer,time_residual:dataset=affective,0.523327716503268,0.012078566756120299,0.004845893663814966,0.015346955356144401,-0.004282733272938067
longctx_lowrank_transformer,time_residual:dataset=experience,0.5526142330080012,0.0397949087189705,0.0356914922785409,0.030030827111816764,-0.0034247865059135
longctx_lowrank_transformer,time_residual_shifted_null,0.5005792367898384,0.0005533921231217666,0.0012085325517018,0.0003741988328905001,-0.005734925937074133
longctx_lowrank_transformer,time_residual_shifted_null:dataset=affective,0.5001353145424837,-0.00016439972181470007,0.0017729360228831332,-0.0006621594984123001,-0.005577659242947967
longctx_lowrank_transformer,time_residual_shifted_null:dataset=experience,0.5018396281932243,0.0011814599874412667,-0.00041581300386039997,0.0033214668483196666,-0.006364433295533367
ridge_context_mean,time_residual,0.5197410782435744,0.051432215037518436,0.022522222685235068,0.028286312525063532,-0.003659953428775733
ridge_context_mean,time_residual:dataset=affective,0.5062149859943977,0.007731562349426901,0.005365117764758033,0.012502675469936499,-0.007395056426212666
ridge_context_mean,time_residual:dataset=experience,0.5582485571235377,0.0896702861395985,0.07129925108569707,0.08079361082471827,0.006913063201516134
ridge_last,time_residual,0.5183310187761861,0.029800335714024063,0.014198902511160535,0.057470691485019994,0.0017757096808473
ridge_last,time_residual:dataset=affective,0.5195210375816993,0.030626540503585264,0.010583067039080267,0.06420695753457643,0.0025891434525522
ridge_last,time_residual:dataset=experience,0.5149768093281926,0.029077406523157965,0.024477202328989898,0.0320366055364138,-0.0007384760438469334
time_ridge,time_residual,0.48092303034053213,0.013637259080603365,-0.03395319804930964,-0.005674054124519833,-0.000284816036343
time_ridge,time_residual:dataset=affective,0.45806781045751627,-0.0608526052329443,-0.07131269948819784,-0.021943358953139935,-0.0007779522602035
time_ridge,time_residual:dataset=experience,0.5459439779943157,0.07881589035495766,0.07233244476327114,0.0427981955692909,0.0009657420557174333
train_mean,time_residual,0.5,0.0,,,-5.7373464359115424e-05
train_mean,time_residual:dataset=affective,0.5,0.0,,,-8.552781116895408e-05
train_mean,time_residual:dataset=experience,0.5,0.0,,,-0.00014988589045126667
