fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
1,real_eeg_ridge,Z,11625,5376,32,16,0.03755598590578302,0.03896155580878258,0.062351111401736284,0.06967057660222054,-0.07856791987156453,0.009300595238095238,0.031436011904761904,0.03422187903533454,113.0,0.5452928046218487,0.06056458674086127,affective,tf,-8
1,shifted_null_ridge,Z,11625,5376,32,16,-0.003054795211937744,-0.00449110334739089,0.008661290569321523,0.005778128746896982,-0.091265562367568,0.00390625,0.01711309523809524,0.02335973844210551,127.0,0.5005288573762838,0.0015965595916597847,affective,tf,-8
1,time_only_ridge,Z,11625,5376,32,16,0.00631313754911389,0.007220893399789929,0.004223316978065365,0.013692033011466265,-8.030073266218629e-05,0.002976190476190476,0.017857142857142856,0.023483879220891537,125.0,0.5077866042250233,0.006391873656365667,affective,tf,-8
1,time_residual_eeg_ridge,Z_time_resid,11625,5376,32,16,0.03721481116008363,0.03838157840073109,0.06011275079692084,0.06756334379315376,-0.07898232802270688,0.009486607142857142,0.03366815476190476,0.034534720097304336,112.0,0.544655987394958,0.059640007734988204,affective,tf,-8
1,time_residual_shifted_null,Z_time_resid,11625,5376,32,16,-0.0015792411468282808,-0.0010923948721028864,-0.010396844969055305,-0.008730032946914434,-0.10085478740853793,0.0026041666666666665,0.020647321428571428,0.02336902299516521,131.0,0.49533657212885157,-0.0083546725593633,affective,tf,-8
2,real_eeg_ridge,Z,11655,5376,32,16,0.030090029431448784,0.026250867173075676,0.04848677397922886,0.0540250800549984,-0.07376737926584442,0.00744047619047619,0.03125,0.03204476692354948,114.0,0.538578139589169,0.04883780989455196,affective,tf,-8
2,shifted_null_ridge,Z,11655,5376,32,16,0.00042888903044513427,-0.001956596679519862,-0.0069040751423436915,-0.004930594237521291,-0.09686944604866521,0.0027901785714285715,0.017857142857142856,0.022506947003711433,129.0,0.49742027019140994,-0.005297466639839496,affective,tf,-8
2,time_only_ridge,Z,11655,5376,32,16,0.006184253432820697,0.0046325623989105225,0.0016052719520443489,-0.006990148685872555,-2.7094510666181293e-06,0.004092261904761905,0.020647321428571428,0.024990137536780692,129.0,0.5026362628384687,0.001308187072976331,affective,tf,-8
2,time_residual_eeg_ridge,Z_time_resid,11655,5376,32,16,0.02997114573372528,0.025988688692450523,0.04730048585974108,0.052008043974637985,-0.07390831146808474,0.007626488095238095,0.030133928571428572,0.031640315687451216,115.0,0.5374708216619981,0.04772182987457073,affective,tf,-8
2,time_residual_shifted_null,Z_time_resid,11655,5376,32,16,0.0058366321072753635,0.005061173578724265,-0.002384723735460847,-0.010079828090965748,-0.10062697691609634,0.004836309523809524,0.019903273809523808,0.02444472223544626,130.0,0.49865050186741366,-0.003536862142811531,affective,tf,-8
