dataset_name,mode,lag,real_rank_pct,shifted_rank_pct,time_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag
affective,tf,-8,0.5443853583099907,0.5005139034780579,0.5057542114067849,0.04387145483193278,0.03863114690320579,0.05987480498764596,0.5434433842981637,0.4975400229536259,0.04590336134453782,0.05843107804345179
affective,tf,-7,0.5517548338779956,0.49910106403672577,0.5052241382664177,0.05265376984126985,0.046530695611577966,0.07069829435154591,0.5500902096949891,0.49658260873793963,0.053507600957049484,0.06830833120186229
affective,tf,-6,0.5612607716697791,0.4963962321039526,0.5053306392001244,0.06486453956582644,0.055930132469654614,0.08227951518996392,0.5593188316993465,0.49496637196545284,0.06435245973389364,0.07947231772750897
affective,tf,-5,0.5643652252567694,0.49548489534702767,0.505509356520386,0.06888032990974169,0.05885586873638338,0.08646014157952152,0.5626573198723934,0.492473690865235,0.07018362900715841,0.08417761882274534
affective,tf,-4,0.5650837418300654,0.4960718662464985,0.5055378053999378,0.06901187558356686,0.05954593643012762,0.08597956081859266,0.5632286074151883,0.49040105625583563,0.07282755115935269,0.08378478662176136
affective,tf,-3,0.5621216542172425,0.4992272603485839,0.5053274782135077,0.06289439386865858,0.05679417600373482,0.08067751053239237,0.5607996323529413,0.4951647846638656,0.06563484768907568,0.07893805691276339
affective,tf,-2,0.5497955084811702,0.5001227921724245,0.505431304466231,0.0496727163087457,0.044364204014939235,0.06834616847717405,0.5483183551198257,0.49675950241207595,0.05155885270774979,0.06640182080546615
affective,tf,-1,0.5379599235527545,0.49785271747587917,0.5067280384375973,0.04010720607687529,0.031231885115157176,0.05361716024308066,0.5367831854964208,0.49988243561313417,0.03690074988328662,0.05219720158216615
affective,tf,0,0.5292557821739807,0.5008572352552132,0.5080041044195457,0.02839854691876753,0.02125167775443504,0.042756088067435714,0.5273852075552443,0.5004709870059135,0.026914220549330792,0.040331432890235656
affective,tf,1,0.5205743755835668,0.5026029509025832,0.5064232463818862,0.01797142468098356,0.014151129201680601,0.03113153737767212,0.5191721132897603,0.5028729721055089,0.016299141184251464,0.029371972021010922
affective,tf,2,0.5177682705026455,0.499062281162465,0.506217903828198,0.01870598934018053,0.011550366674447532,0.025648278626747397,0.5170385688997822,0.5004495895580455,0.016588979341736643,0.025063325830717298
affective,tf,3,0.5144345238095238,0.497063200280112,0.5073405403828198,0.017371323529411786,0.007093983426703976,0.021907926941262566,0.514114899431995,0.5028358913009648,0.01127900813103011,0.021391576458128846
affective,tf,4,0.5118310866013073,0.4953246576408341,0.506290971249611,0.016506428960473163,0.005540115351696295,0.019241902253905836,0.5118874980547775,0.49767205493308436,0.01421544312169315,0.01925435663476265
affective,tf,5,0.5102845131107999,0.49427970841114227,0.5051628637566137,0.01600480469965765,0.005121649354186242,0.01810247332439023,0.5110085006224712,0.4960876711795829,0.01492082944288825,0.018866177539321825
affective,tf,6,0.5078768139200124,0.49352362472766886,0.5044667172424525,0.014353189192343518,0.0034100966775598707,0.01520799418567663,0.5091505699502022,0.4944629240585123,0.014687645891689971,0.017040458293292298
affective,tf,7,0.507691653050109,0.4968467942732649,0.5047664030890133,0.010844858776844102,0.002925249961095666,0.01623415105245617,0.5095257547463429,0.4944809173669468,0.015044837379396048,0.018583199651976415
affective,tf,8,0.5108723350451292,0.4971262984360411,0.5048800770308123,0.013746036609088075,0.005992258014316909,0.017778892729608278,0.5112674583722377,0.49818851151571736,0.01307894685652039,0.01861481765510652
experience,tf,-8,0.5426469949384053,0.5001350900261307,0.5933267833996809,0.042511904912274634,-0.05067978846127563,0.06357443598432201,0.5299647788017616,0.49955453047277537,0.030410248328986256,0.040775045815945404
experience,tf,-7,0.541987553258746,0.5048294052957162,0.5928180990826627,0.03715814796302985,-0.05083054582391666,0.060201399884627256,0.5285478156600988,0.49819613222515885,0.030351683434939936,0.03819160236114972
experience,tf,-6,0.541892331068449,0.503249277316623,0.5912606303267852,0.038643053751826084,-0.04936829925833619,0.060769622704818026,0.5330395526386315,0.49582411336043775,0.03721543927819371,0.044076330665768874
experience,tf,-5,0.5435087435798219,0.5053279011060597,0.5919398877132086,0.03818084247376219,-0.04843114413338667,0.06261317118415631,0.5355000292901416,0.4966027361241318,0.038897293166009816,0.047494740343734826
experience,tf,-4,0.5460318783483393,0.5033722846818659,0.5921172253441054,0.04265959366647343,-0.04608534699576605,0.06408030473564068,0.5380231134323156,0.49032203778414263,0.04770107564817294,0.048422894815345764
experience,tf,-3,0.5419648264283657,0.5050645721340589,0.5921042864999643,0.03690025429430688,-0.05013946007159853,0.06260575299991201,0.5329831711601055,0.4986908966732524,0.034292274486853125,0.04590090184027099
experience,tf,-2,0.539392544459456,0.49978364505793443,0.5920951598907145,0.03960889940152151,-0.05270261543125854,0.05946938817545066,0.5289713295948425,0.4953275855020773,0.033643744092765215,0.04038519336063709
experience,tf,-1,0.5369721965312725,0.4967967767817585,0.5919014719452865,0.040175419749513996,-0.054929275414014045,0.05768369896576847,0.526462119253703,0.5027710647193729,0.02369105453433007,0.036212152678769226
experience,tf,0,0.539863916851503,0.48997723787862735,0.5913679199622373,0.04988667897287569,-0.05150400311073422,0.05969457559224556,0.5280465256745714,0.4991702912942932,0.028876234380278254,0.03755520728165931
experience,tf,1,0.5403983425005771,0.4877302845445783,0.5898122716895391,0.05266805795599877,-0.049413929188962036,0.057886321595285006,0.5260871980915415,0.5017925694837784,0.024294628607763102,0.03359473486584796
experience,tf,2,0.5338250095667699,0.49069489386936144,0.5895146678865231,0.04313011569740849,-0.055689658319753144,0.04923619411974594,0.5215885404618003,0.5000751280793058,0.02151341238249449,0.02504053663102354
experience,tf,3,0.5319827223908723,0.48858610951415343,0.5891585674169507,0.043396612876718865,-0.05717584502607842,0.04683353098433853,0.51800739839453,0.5031903268636868,0.014817071530843218,0.023140923393114552
experience,tf,4,0.5307224264019477,0.4893774350741949,0.5903210969368634,0.04134499132775277,-0.05959867053491574,0.0447353184771321,0.5186844007976981,0.5020826806696398,0.016601720128058273,0.021049600398643384
experience,tf,5,0.5288933932618186,0.48756196457748996,0.590290613904407,0.04133142868432865,-0.061397220642588346,0.04048957866346017,0.5148724441111426,0.5032090406749475,0.011663403436195097,0.01632248803602278
experience,tf,6,0.5328424992820415,0.49588705896500546,0.5889837557440111,0.03695544031703607,-0.056141256461969546,0.04628934284438648,0.5207415064289289,0.5070615168821436,0.013679989546785287,0.02439806609209641
experience,tf,7,0.5327393696684491,0.4938498789688559,0.594742327233932,0.03888949069959324,-0.06200295756548291,0.04290860089905026,0.5196978629986925,0.510983724125646,0.008714138873046506,0.022431454196925604
experience,tf,8,0.5316006295969382,0.49483094944904393,0.591963021308164,0.03676968014789428,-0.060362391711225816,0.03994321757697125,0.5163688183886015,0.5143139480425175,0.0020548703460839812,0.017146417290282923
xp2,tf,-8,0.5521062647877054,0.5007350246278998,0.534378051836249,0.05137124015980565,0.017728212951456435,0.057391713079305316,0.5460943619331111,0.5135364193279038,0.03255794260520728,0.05025548767184438
xp2,tf,-7,0.5532531614046615,0.5028200891849023,0.5342225555401959,0.050433072219759234,0.01903060586446559,0.05582867626202464,0.5459018224644666,0.5089995617203383,0.03690226074412828,0.05144720593681092
xp2,tf,-6,0.5439375208360353,0.5037541805985182,0.53420352740865,0.04018334023751713,0.009733993427385346,0.04884113001341792,0.5411108778881509,0.5059409500921326,0.03516992779601835,0.046242682747959174
xp2,tf,-5,0.5430028097692526,0.5031124998724708,0.532645566898459,0.039890309896781884,0.010357242870793648,0.04780286232958525,0.5400348447512916,0.5168532449051825,0.023181599846109124,0.04532927881228758
xp2,tf,-4,0.5449246410426433,0.4990442899490907,0.531026605021342,0.04588035109355254,0.013898036021301241,0.04825641011469193,0.5415268118688988,0.5068796660650273,0.034647145803871515,0.046220344614497144
xp2,tf,-3,0.5458121053902069,0.5023808994146746,0.5284871539536694,0.043431205975532294,0.01732495143653745,0.049842545321987196,0.5394082817209488,0.5059136393734115,0.033494642347537296,0.045160685563541136
xp2,tf,-2,0.5419771105920621,0.49739691380229895,0.5275846184838926,0.04458019678976316,0.014392492108169508,0.04521672455990303,0.5341131807114458,0.5052187291766711,0.028894451534774657,0.040049624807363404
xp2,tf,-1,0.542140923468298,0.49220177459580605,0.5252198698278031,0.049939148872491956,0.0169210536404949,0.04739755796361766,0.537056069434926,0.5063944018936497,0.030661667541276305,0.041501091967917035
