dataset,subject,run,cache_path,source_kind,target_kind,volume_path,target_meta_path,required_warp,all_required_files_exist,transform_files_exist,status,error,transform_count,missing_transforms,missing_core_files,ref_path,t1_path,fd_available,fd_mean,fd_p95,fd_gt_05_frac,denoise_kind,shape,spatial_shape,n_time,zooms,spatial_zooms,tr_header,affine_det,spatial_mm3,header_ok,tr_sidecar,tr_used,neurostorm_shape_path,cache_windows,sample_time_min,sample_time_max,aligned_windows,time_align_frac,latent_time_idx_min,latent_time_idx_max,time_idx_monotonic,sample_intensity_checked,sample_finite_frac,sample_nonzero_frac,sample_std,ready_for_neurostorm_metadata
Affective_music_listening_OpenNeuro_ds002725,sub-01,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-01/func/sub-01_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-01/f38e3f6b9badeed3/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-01/anat/sub-01_T1w.nii.gz,True,0.3597279191017151,0.6890669465065002,0.15053763440860216,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x930,64x64x37,930,3x3x3.75x2,3x3x3.75,2.0,-33.750000067548356,33.750000067548356,True,2.0,2.0,96x96x69->96x96x96,925,11.0,1859.0,925,1.0,5,929,True,True,1.0,0.999973606418919,312.7592468261719,True
Affective_music_listening_OpenNeuro_ds002725,sub-02,sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-02/func/sub-02_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-02/fb2a35c9f45a12e1/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-02/anat/sub-02_T1w.nii.gz,True,0.31301459670066833,0.5522981882095337,0.0835117773019272,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.7499999854668,33.7499999854668,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,0.9999648085585585,319.8710021972656,True
Affective_music_listening_OpenNeuro_ds002725,sub-03,sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-03/func/sub-03_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-03/2123280650457750/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-03/anat/sub-03_T1w.nii.gz,True,0.3166850805282593,0.523647129535675,0.06109324758842444,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x933,64x64x37,933,3x3x3.75x2,3x3x3.75,2.0,-33.74999916431388,33.74999916431388,True,2.0,2.0,96x96x69->96x96x96,928,11.0,1865.0,928,1.0,5,932,True,True,1.0,0.9999560106981982,330.68829345703125,True
Affective_music_listening_OpenNeuro_ds002725,sub-04,sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-04/func/sub-04_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-04/e2f49b517d10ea60/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-04/anat/sub-04_T1w.nii.gz,True,0.28540030121803284,0.5853691101074219,0.08458244111349036,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.750001361250646,33.750001361250646,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,0.9999648085585585,350.6401672363281,True
Affective_music_listening_OpenNeuro_ds002725,sub-05,sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-05/func/sub-05_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-05/b0b8c4d4386cd188/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-05/anat/sub-05_T1w.nii.gz,True,0.2627464532852173,0.4602249264717102,0.0417558886509636,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_39,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.749997883034005,33.749997883034005,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,0.9999912021396397,357.5830078125,True
Affective_music_listening_OpenNeuro_ds002725,sub-06,sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-06/func/sub-06_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-06/e4850f8e2f11a24a/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-06/anat/sub-06_T1w.nii.gz,True,0.3770201802253723,0.9357762336730957,0.18843683083511778,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.74999763970933,33.74999763970933,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,0.9999824042792793,362.4978332519531,True
Affective_music_listening_OpenNeuro_ds002725,sub-07,sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-07/func/sub-07_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-07/adf009403e6eef24/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-07/anat/sub-07_T1w.nii.gz,True,0.3828272819519043,0.8067873120307922,0.20985010706638116,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.74999881435103,33.74999881435103,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,1.0,311.80279541015625,True
Affective_music_listening_OpenNeuro_ds002725,sub-08,sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-08/func/sub-08_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-08/aeef148cc199f600/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-08/anat/sub-08_T1w.nii.gz,True,0.29198336601257324,0.5326399803161621,0.06745182012847965,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.74999857866962,33.74999857866962,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,0.9999824042792793,311.58538818359375,True
Affective_music_listening_OpenNeuro_ds002725,sub-09,sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-09/func/sub-09_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-09/9898c71e17916961/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-09/anat/sub-09_T1w.nii.gz,True,0.34781724214553833,0.6669113636016846,0.11884368308351177,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_50,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.749999360874114,33.749999360874114,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,0.9999824042792793,332.824951171875,True
Affective_music_listening_OpenNeuro_ds002725,sub-10,sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun,/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,native_bold_requires_ants_to_mni,mni_proxy_ants_schaefer100,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-10/func/sub-10_task-classicalMusic_bold.nii.gz,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/targets/Affective_music_listening_OpenNeuro_ds002725/sub-10/f894023c9151191b/schaefer100_mni_proxy.npz,True,True,True,ok,,3,,,/home/sudaxin/projects/paired_data/data/mni_schaefer100_proxy_full_denoise_work/mni152_on_schaefer100_grid.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Affective_music_listening_OpenNeuro_ds002725/sub-10/anat/sub-10_T1w.nii.gz,True,0.24091772735118866,0.47764673829078674,0.03961456102783726,intercept+linear_quadratic_trend+dct_highpass_128s_29cos+fd_deriv_power2+fd_spikes_0.5_37,64x64x37x934,64x64x37,934,3x3x3.75x2,3x3x3.75,2.0,-33.74999981362765,33.74999981362765,True,2.0,2.0,96x96x69->96x96x96,929,11.0,1867.0,929,1.0,5,933,True,True,1.0,1.0,348.94317626953125,True
