fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,calib_frac,n_calib_seq
1,real_eeg_ridge,calib0.25,14325,2863,32,16,0.023020929609629093,0.01965567283332348,0.02308277263758202,0.03636149317026138,-0.30987279484897656,0.0006985679357317499,0.010827803003842123,0.015415945974915834,192.0,0.5202344996678379,0.026914982208822758,affective,0.25,1589
1,shifted_null_ridge,calib0.25,14325,2863,32,16,-0.004402302429298288,-0.00719953328371048,-0.0005606628986818172,0.004790667910128832,-0.21870859006849352,0.0031435557107928748,0.015717778553964373,0.01726119012882384,202.0,0.5019167813824796,0.0017280999885694436,affective,0.25,1589
1,time_only_ridge,calib0.25,14325,2863,32,16,9.53620777650599e-05,0.0011688459198921919,0.008740540043014345,0.019497260451316833,-1.0135970841318453e-05,0.0024449877750611247,0.011526370939573873,0.015843788698781485,200.0,0.5035904337285037,0.0030784973720697447,affective,0.25,1589
1,train_mean,calib0.25,14325,2863,32,16,1.851100401616927e-09,3.013773008930798e-09,0.003987102050292811,0.012406687252223492,-7.698205702233452e-06,0.0024449877750611247,0.012224938875305624,0.016117733048088983,205.0,0.5,3.2526065174565133e-19,affective,0.25,1589
1,time_residual_eeg_ridge,calib0.25_time_resid,14325,2863,32,16,0.023039243638777407,0.01961990538984537,0.0222466926389407,0.03521338850259781,-0.30958617695330903,0.001047851903597625,0.011526370939573873,0.015674026840243948,192.0,0.5203320937176826,0.026854054134037846,affective,0.25,1589
1,time_residual_shifted_null,calib0.25_time_resid,14325,2863,32,16,-0.0012519203119154554,0.0017622797167859972,-0.0025910243343277577,0.001516645192168653,-0.2737460444215438,0.0034928396786587496,0.010827803003842123,0.016350859514512654,203.0,0.49817139569764335,-0.0009129910976007607,affective,0.25,1589
1,time_residual_mean,calib0.25_time_resid,14325,2863,32,16,7.190338324747358e-10,-4.19315204780446e-09,-0.003197617478287392,-0.002708731684833765,-6.0302363749098475e-06,0.0024449877750611247,0.012224938875305624,0.016117733048088983,205.0,0.5,6.195440985631454e-20,affective,0.25,1589
2,real_eeg_ridge,calib0.25,14330,2861,32,16,0.018184159860084037,0.019284402020275593,0.024886538353736717,0.020228032022714615,-0.09111592853899331,0.003495281370150297,0.017825934987766516,0.019601837984182344,196.0,0.5172522461478897,0.025884872128844456,affective,0.25,1588
2,shifted_null_ridge,calib0.25,14330,2861,32,16,0.009586400406988105,0.010148999281227589,0.01796728540767747,0.025810137391090393,-0.061188004199953516,0.0027962250961202375,0.013282069206571129,0.01688750258729792,199.0,0.5116318249268154,0.015329546635649996,affective,0.25,1588
2,time_only_ridge,calib0.25,14330,2861,32,16,-0.0006138166709206416,-0.00028952663706149906,-0.012078996993014077,-0.02261466532945633,-6.411384677007526e-05,0.0027962250961202375,0.01083537224746592,0.015560592485053891,204.0,0.4978131280715591,-0.0018986986582279258,affective,0.25,1588
2,train_mean,calib0.25,14330,2861,32,16,-9.250498145263464e-10,-3.3017435452364907e-09,-0.01753716884155655,-0.035611800849437714,-2.648420520667827e-06,0.002446696959105208,0.01223348479552604,0.01612728897186702,205.0,0.5,1.053224967557347e-18,affective,0.25,1588
2,time_residual_eeg_ridge,calib0.25_time_resid,14330,2861,32,16,0.018263850913172064,0.01962496107444167,0.025491895373760395,0.02342996932566166,-0.09105260823249561,0.003844809507165327,0.016427822439706398,0.019333806932689532,196.0,0.5178357467925401,0.026435931664142178,affective,0.25,1588
2,time_residual_shifted_null,calib0.25_time_resid,14330,2861,32,16,0.0014285947381722508,0.003002384561114013,-0.00045163508978967654,0.0007292505470104516,-0.1079805803516749,0.002446696959105208,0.009087731562390773,0.015299571138238103,205.0,0.49859171482595865,-0.0022587882887626504,affective,0.25,1588
2,time_residual_mean,calib0.25_time_resid,14330,2861,32,16,3.3391756859568744e-09,6.239614602776555e-09,0.023155824854679735,0.04973308742046356,-1.3241271188402237e-06,0.002446696959105208,0.01223348479552604,0.01612728897186702,205.0,0.5,6.195440985631454e-19,affective,0.25,1588
3,real_eeg_ridge,calib0.25,14325,2863,32,16,0.024216040138526296,0.020750077441334724,0.04762254468222936,0.04192760959267616,-0.09491525320166283,0.004889975550122249,0.020258470136220747,0.022244455732185996,186.0,0.5367321745324046,0.051720457935748455,affective,0.25,1589
3,shifted_null_ridge,calib0.25,14325,2863,32,16,0.004984486135072075,0.001383247144985944,-0.004302586402553431,0.0038038790225982666,-0.12297385358336643,0.00209570380719525,0.014320642682500873,0.01611715675704417,201.0,0.5045809277256135,0.0025334134917927137,affective,0.25,1589
3,time_only_ridge,calib0.25,14325,2863,32,16,-0.0005265085169412487,0.00025653078773757443,0.004588264558571067,0.005791704636067152,-0.00021758384172665401,0.0017464198393293748,0.013272790778903249,0.015590717656092684,199.0,0.5052957613363194,0.005852017292180275,affective,0.25,1589
3,train_mean,calib0.25,14325,2863,32,16,-2.022075827292123e-09,7.77707842569697e-10,0.01914573517276913,0.04748620092868805,-4.460438204345607e-06,0.0024449877750611247,0.012224938875305624,0.016117733048088983,205.0,0.5,4.4916947145828045e-19,affective,0.25,1589
3,time_residual_eeg_ridge,calib0.25_time_resid,14325,2863,32,16,0.02422605620813556,0.02103241439908743,0.05080264018760464,0.0481649674475193,-0.09462365144726315,0.0041914076143905,0.020607754104086624,0.02194050139134767,186.0,0.5377449268215845,0.05381092559211966,affective,0.25,1589
3,time_residual_shifted_null,calib0.25_time_resid,14325,2863,32,16,-0.005916225796681829,-0.0049781170673668385,0.013018380827620142,0.02237590029835701,-0.12392824106852784,0.0038421236465246244,0.011177086971707998,0.01710127185043988,200.0,0.5068782402936726,0.006962571706644408,affective,0.25,1589
3,time_residual_mean,calib0.25_time_resid,14325,2863,32,16,-2.6312178493718226e-09,-1.0973366659783323e-09,-0.022237061226523323,-0.03076338768005371,-4.8871119893156845e-06,0.0024449877750611247,0.012224938875305624,0.016117733048088983,205.0,0.5,1.2390881971262908e-18,affective,0.25,1589
