eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,residual_latent_corr_mean,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,best_epoch,best_val_mse,epochs_ran,trainable_params
natview,1,time_dataset_ridge,3712,2034,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.009370083460671594,nan,-0.009370083460671594,-0.01116036856546998,0.34,-0.0020544324132350618,-0.001884064229670912,-6.672382005490363e-05,-6.690923328278586e-05,0.0,nan,0.0,
natview,1,schaefer_spatial,3712,2034,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.029030257464619354,nan,0.029030257464619354,0.0323929488658905,0.95,-0.001501735325037541,-0.004367290763184428,-0.007982920855283737,-0.00798966083675623,1.0,1.0024185838665158,5.0,1404227
natview,1,schaefer_shifted_null,3712,2034,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.027994261614367133,nan,-0.027994261614367133,-0.028725430369377136,0.04,0.003358828633214447,0.0065861716866493225,-0.001435169018805027,-0.0014361534267663956,3.0,0.996359393374467,7.0,1404227
