method,target_mode,retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2
longctx_lowrank_transformer,time_residual,0.5183388597987496,0.005456845764047633,0.007691165334721366,0.00017910601248633334,-0.0071972070316936336
longctx_lowrank_transformer,time_residual:dataset=affective,0.5225178960473078,0.011176481824263701,0.0092692289161365,0.0142993150398251,-0.003350798448147433
longctx_lowrank_transformer,time_residual:dataset=experience,0.506492502858428,0.00045216421135866664,0.0032145453383642,-0.0044418930272028,-0.028513841770852002
longctx_lowrank_transformer,time_residual_shifted_null,0.4982976761714859,-0.004301461142952234,0.0176162351572229,0.20175789470318697,0.050772820389898395
longctx_lowrank_transformer,time_residual_shifted_null:dataset=affective,0.5007678765950825,-5.968164046000022e-06,0.0020739950708654332,-0.00019878489798736665,-0.03272439656954113
longctx_lowrank_transformer,time_residual_shifted_null:dataset=experience,0.49123617874713976,-0.0080600174994952,0.06193524450967283,0.18638180499731483,0.0313243703343546
ridge_context_mean,time_residual,0.5087386626170393,0.005713032549100834,0.0056519935737643,0.027008359441715535,-0.006894023409797033
ridge_context_mean,time_residual:dataset=affective,0.5064637313258636,0.0099054233572748,0.0051200806979408335,0.02077187521155183,6.655751929573332e-05
ridge_context_mean,time_residual:dataset=experience,0.5152636914645297,0.0020446905919486668,0.007120691930726233,0.08032510508142869,-0.028235255832547098
ridge_last,time_residual,0.515209940594083,0.009992168826984801,0.004608577790663934,0.006143675399737966,-0.0070827293317566
ridge_last,time_residual:dataset=affective,0.5216289293495175,0.03274294732529997,0.009586520480994034,0.06747070699309307,0.0036759092165679335
ridge_last,time_residual:dataset=experience,0.4969622944527445,-0.009914762359040933,-0.009539678676873133,-0.0018536588204976,-0.028472878699975168
time_ridge,time_residual,0.5016363562791853,0.007026619062232267,-0.002884223038744533,-0.025211465989608103,-0.007158863105330734
time_ridge,time_residual:dataset=affective,0.5038437597261126,0.0038510065572512665,0.0006425482347959666,0.0042443175587762,-4.5676259500889846e-05
time_ridge,time_residual:dataset=experience,0.4954236392535212,0.009805280004090632,-0.012865599329720765,-0.053653800797246694,-0.0285091367901745
train_mean,time_residual,0.5,0.0,,,-0.007118309703262133
train_mean,time_residual:dataset=affective,0.5,0.0,,,-5.737117924575763e-05
train_mean,time_residual:dataset=experience,0.5,0.0,,,-0.028467508693825635
