retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2,lag_steps,lag_sec,n_samples
0.5528572387936451,0.06813869680090899,0.06890004266004938,0.05396877461074231,-0.06756613569026504,-4,-8.0,19422
0.5458532101493448,0.055621582409519164,0.05615420916417862,0.045902029150312273,-0.07768801401570768,-6,-12.0,19380
0.5408480794059524,0.055865655486206416,0.05707796947776888,0.037205065566107955,-0.06317447532657779,-2,-4.0,19464
0.52624784293781,0.034515379496650476,0.03353906184734329,0.025195160679989687,-0.08614720551769779,-8,-16.0,19338
0.5244481931132181,0.03726499511791651,0.037305111387017184,0.01450287653885122,-0.07171096818191924,0,0.0,19506
0.5195456351407248,0.029029804204411053,0.029567924389900153,0.008351795313198332,-0.07618725705040348,2,4.0,19464
0.5101733189288821,0.014236799052430834,0.01427345944735057,0.004310170214769944,-0.07772917155709995,4,8.0,19422
0.5079878035807915,0.009673246332821859,0.008343202785757209,0.005635927019435864,-0.08250280445258255,6,12.0,19380
0.5065364298973256,0.00800511967890089,0.008414686043617337,0.0061164056448130095,-0.0802352890906471,12,24.0,19254
0.5028967952995997,0.003075021286733629,0.0011818683857976705,0.0047317522739831475,-0.08359356650769752,10,20.0,19296
0.502844087577509,0.0037226571057323334,0.001979236485745655,0.0021061261504655704,-0.0862647034010003,8,16.0,19338
