eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,residual_latent_corr_mean,roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,r2_variance_weighted,best_epoch,best_val_mse,epochs_ran,trainable_params
natview,1,time_dataset_ridge,3763,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.008341649850335671,nan,0.008341649850335671,0.011480424553155899,0.62,0.004532277136287269,0.004481416894122958,-0.008332178927958012,-0.008332178927958012,0.0,nan,0.0,
natview,1,schaefer_spatial,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.013545122499926947,nan,0.013545122499926947,0.012009812984615564,0.83,0.005501523719494587,0.004281128058210015,-0.0075048040598630905,-0.007504804991185665,1.0,0.9713264237279478,3.0,1385529
natview,1,schaefer_shifted_null,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.00861836183205014,nan,-0.00861836183205014,-0.007092243060469627,0.27,-9.328870882475099e-05,0.003891817177645862,-0.006589596159756184,-0.006589596159756184,1.0,0.9583094577858413,3.0,1385529
natview,1,schaefer_residual,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.0009858285667723977,0.0011221970019050787,0.0009858285667723977,0.0009975653083529323,0.55,0.00361984657366668,0.009737845044583082,-0.004400189034640789,-0.004400189500302076,1.0,0.9527751708376235,3.0,1385529
natview,1,schaefer_residual_shifted_null,2048,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.04490655670175329,-0.044549415754154324,-0.04490655670175329,-0.04602265730500221,0.01,0.004405046606260551,0.009492462500929832,-0.015924345701932907,-0.015924347564578056,1.0,0.9570485949516296,3.0,1385529
