path,subject,run,n_windows
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-01,sub-01_ses-nosession_classicalMusic_classicalMusic_run-norun,925
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-02,sub-02_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-03,sub-03_ses-nosession_classicalMusic_classicalMusic_run-norun,928
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-04,sub-04_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-05,sub-05_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-06,sub-06_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-07,sub-07_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-08,sub-08_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-09,sub-09_ses-nosession_classicalMusic_classicalMusic_run-norun,929
/home/sudaxin/projects/paired_data/data/pooled_raw_schaefer100_mni_proxy_full_mask_min80/run_cache/Affective_music_listening_OpenNeuro_ds002725/sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun.npz,sub-10,sub-10_ses-nosession_classicalMusic_classicalMusic_run-norun,929
