target,model,split,fold,n_train,n_test,corr,r2,y_std_train,y_std_test
music_rms,time_ridge,within_run_block,1,13245,5253,0.2353252562419495,0.05432230234146118,0.6703032851219177,0.6803340315818787
music_rms,time_ridge,within_run_block,2,13377,5161,0.2522759920895001,0.061650991439819336,0.6748462319374084,0.6445428133010864
music_rms,time_ridge,within_run_block,3,13405,5125,0.25232010646283803,0.05953747034072876,0.6870455145835876,0.6379911303520203
music_rms,time_ridge,subject_heldout,1,13007,6499,0.21115151348532704,0.04131805896759033,0.665736198425293,0.6860209703445435
music_rms,time_ridge,subject_heldout,2,13001,6505,0.27605131884643974,0.07536882162094116,0.6764137744903564,0.6648119688034058
music_rms,time_ridge,subject_heldout,3,13004,6502,0.2474433083054342,0.06101268529891968,0.6755018830299377,0.6666596531867981
music_rms,summary_bandpower,within_run_block,1,13245,5253,0.13397337037149482,0.01709604263305664,0.6703032851219177,0.6803340315818787
music_rms,summary_bandpower,within_run_block,2,13377,5161,0.18456416494261285,0.032888710498809814,0.6748462319374084,0.6445428133010864
music_rms,summary_bandpower,within_run_block,3,13405,5125,0.11982295370025818,0.010405123233795166,0.6870455145835876,0.6379911303520203
music_rms,summary_bandpower,subject_heldout,1,13007,6499,0.1159999922810954,0.009813547134399414,0.665736198425293,0.6860209703445435
music_rms,summary_bandpower,subject_heldout,2,13001,6505,0.12405949927106057,-0.002315044403076172,0.6764137744903564,0.6648119688034058
music_rms,summary_bandpower,subject_heldout,3,13004,6502,0.09219386393064345,-0.008116006851196289,0.6755018830299377,0.6666596531867981
music_rms,spatial_bandpower,within_run_block,1,13245,5253,0.14704292063009886,0.01791161298751831,0.6703032851219177,0.6803340315818787
music_rms,spatial_bandpower,within_run_block,2,13377,5161,0.1728969359951447,0.027677297592163086,0.6748462319374084,0.6445428133010864
music_rms,spatial_bandpower,within_run_block,3,13405,5125,0.14260470558450933,0.015423834323883057,0.6870455145835876,0.6379911303520203
music_rms,spatial_bandpower,subject_heldout,1,13007,6499,0.04866303555625241,-0.2336258888244629,0.665736198425293,0.6860209703445435
music_rms,spatial_bandpower,subject_heldout,2,13001,6505,0.047292637783126694,-0.4038093090057373,0.6764137744903564,0.6648119688034058
music_rms,spatial_bandpower,subject_heldout,3,13004,6502,0.10431242768990752,-0.017543554306030273,0.6755018830299377,0.6666596531867981
music_absmean,time_ridge,within_run_block,1,13245,5253,0.22268402786586025,0.04844081401824951,0.40278348326683044,0.4062151312828064
music_absmean,time_ridge,within_run_block,2,13377,5161,0.2401224637244189,0.055838942527770996,0.40501660108566284,0.3869681656360626
music_absmean,time_ridge,within_run_block,3,13405,5125,0.23940339454380502,0.053615033626556396,0.41268783807754517,0.3833885192871094
music_absmean,time_ridge,subject_heldout,1,13007,6499,0.19987160027168965,0.03678375482559204,0.39985913038253784,0.4110366702079773
music_absmean,time_ridge,subject_heldout,2,13001,6505,0.26196561989897277,0.06784188747406006,0.40536224842071533,0.40011516213417053
music_absmean,time_ridge,subject_heldout,3,13004,6502,0.23518141989442629,0.05509442090988159,0.40561342239379883,0.3996027410030365
music_absmean,summary_bandpower,within_run_block,1,13245,5253,0.12377448706829874,0.014329850673675537,0.40278348326683044,0.4062151312828064
music_absmean,summary_bandpower,within_run_block,2,13377,5161,0.17203233223552375,0.02856457233428955,0.40501660108566284,0.3869681656360626
music_absmean,summary_bandpower,within_run_block,3,13405,5125,0.10942659286573765,0.007992088794708252,0.41268783807754517,0.3833885192871094
music_absmean,summary_bandpower,subject_heldout,1,13007,6499,0.11546203695323756,0.01190882921218872,0.39985913038253784,0.4110366702079773
music_absmean,summary_bandpower,subject_heldout,2,13001,6505,0.11979196231574495,0.0005721449851989746,0.40536224842071533,0.40011516213417053
music_absmean,summary_bandpower,subject_heldout,3,13004,6502,0.08545778934806651,-0.00883185863494873,0.40561342239379883,0.3996027410030365
music_absmean,spatial_bandpower,within_run_block,1,13245,5253,0.1344426234380956,0.013816237449645996,0.40278348326683044,0.4062151312828064
music_absmean,spatial_bandpower,within_run_block,2,13377,5161,0.15639592773816674,0.021729588508605957,0.40501660108566284,0.3869681656360626
music_absmean,spatial_bandpower,within_run_block,3,13405,5125,0.12953800146550953,0.011301398277282715,0.41268783807754517,0.3833885192871094
music_absmean,spatial_bandpower,subject_heldout,1,13007,6499,0.045144529402149136,-0.2224283218383789,0.39985913038253784,0.4110366702079773
music_absmean,spatial_bandpower,subject_heldout,2,13001,6505,0.04385592704800766,-0.38166487216949463,0.40536224842071533,0.40011516213417053
music_absmean,spatial_bandpower,subject_heldout,3,13004,6502,0.09423258451712464,-0.021916508674621582,0.40561342239379883,0.3996027410030365
music_std,time_ridge,within_run_block,1,13245,5253,0.23503412363558576,0.05421322584152222,0.6619272828102112,0.6723710894584656
music_std,time_ridge,within_run_block,2,13377,5161,0.25194253940208233,0.06150984764099121,0.6664150357246399,0.6366417407989502
music_std,time_ridge,within_run_block,3,13405,5125,0.25191510179713744,0.05932772159576416,0.6786250472068787,0.6300786137580872
music_std,time_ridge,subject_heldout,1,13007,6499,0.21087509682573224,0.04122716188430786,0.6574602723121643,0.6776565313339233
music_std,time_ridge,subject_heldout,2,13001,6505,0.2756460465948676,0.0751504898071289,0.6681352853775024,0.6564511656761169
music_std,time_ridge,subject_heldout,3,13004,6502,0.24713288232639824,0.06086385250091553,0.6671402454376221,0.6584681868553162
music_std,summary_bandpower,within_run_block,1,13245,5253,0.13374811184122454,0.017028748989105225,0.6619272828102112,0.6723710894584656
music_std,summary_bandpower,within_run_block,2,13377,5161,0.1841557942735829,0.03275817632675171,0.6664150357246399,0.6366417407989502
music_std,summary_bandpower,within_run_block,3,13405,5125,0.11946162040735485,0.010275304317474365,0.6786250472068787,0.6300786137580872
music_std,summary_bandpower,subject_heldout,1,13007,6499,0.11528464496404064,0.009508013725280762,0.6574602723121643,0.6776565313339233
music_std,summary_bandpower,subject_heldout,2,13001,6505,0.12389818676905995,-0.0024137496948242188,0.6681352853775024,0.6564511656761169
music_std,summary_bandpower,subject_heldout,3,13004,6502,0.0924709894042529,-0.007857918739318848,0.6671402454376221,0.6584681868553162
music_std,spatial_bandpower,within_run_block,1,13245,5253,0.14740579823586866,0.018086612224578857,0.6619272828102112,0.6723710894584656
music_std,spatial_bandpower,within_run_block,2,13377,5161,0.17272024048071158,0.027607500553131104,0.6664150357246399,0.6366417407989502
music_std,spatial_bandpower,within_run_block,3,13405,5125,0.14280845575553602,0.015523314476013184,0.6786250472068787,0.6300786137580872
music_std,spatial_bandpower,subject_heldout,1,13007,6499,0.04879977958416128,-0.23254835605621338,0.6574602723121643,0.6776565313339233
music_std,spatial_bandpower,subject_heldout,2,13001,6505,0.047224133894323506,-0.4050333499908447,0.6681352853775024,0.6564511656761169
music_std,spatial_bandpower,subject_heldout,3,13004,6502,0.10461905861770893,-0.017246484756469727,0.6671402454376221,0.6584681868553162
trialtype_rms,time_ridge,within_run_block,1,13245,5253,0.23835706110041313,0.055921316146850586,0.7104361057281494,0.7150012254714966
trialtype_rms,time_ridge,within_run_block,2,13377,5161,0.2547332313118513,0.06115454435348511,0.7192556262016296,0.6516513824462891
trialtype_rms,time_ridge,within_run_block,3,13405,5125,0.25479956094240624,0.0616878867149353,0.721379816532135,0.6811375617980957
trialtype_rms,time_ridge,subject_heldout,1,13007,6499,0.21521842618886103,0.043304622173309326,0.708137571811676,0.7155311703681946
trialtype_rms,time_ridge,subject_heldout,2,13001,6505,0.2806069829602417,0.07694810628890991,0.7087682485580444,0.7142754197120667
trialtype_rms,time_ridge,subject_heldout,3,13004,6502,0.23495423836958984,0.05406218767166138,0.7149032354354858,0.7019384503364563
trialtype_rms,summary_bandpower,within_run_block,1,13245,5253,0.14275999025211694,0.018224477767944336,0.7104361057281494,0.7150012254714966
trialtype_rms,summary_bandpower,within_run_block,2,13377,5161,0.21068403966559585,0.04269766807556152,0.7192556262016296,0.6516513824462891
trialtype_rms,summary_bandpower,within_run_block,3,13405,5125,0.14203897802356866,0.01800084114074707,0.721379816532135,0.6811375617980957
trialtype_rms,summary_bandpower,subject_heldout,1,13007,6499,0.1339226324938758,0.013661861419677734,0.708137571811676,0.7155311703681946
trialtype_rms,summary_bandpower,subject_heldout,2,13001,6505,0.14244851901335986,0.006549060344696045,0.7087682485580444,0.7142754197120667
trialtype_rms,summary_bandpower,subject_heldout,3,13004,6502,0.1034528114332638,-0.008275747299194336,0.7149032354354858,0.7019384503364563
trialtype_rms,spatial_bandpower,within_run_block,1,13245,5253,0.17348920028602705,0.0272141695022583,0.7104361057281494,0.7150012254714966
trialtype_rms,spatial_bandpower,within_run_block,2,13377,5161,0.20618549597252445,0.039039790630340576,0.7192556262016296,0.6516513824462891
trialtype_rms,spatial_bandpower,within_run_block,3,13405,5125,0.16729068315474027,0.025095999240875244,0.721379816532135,0.6811375617980957
trialtype_rms,spatial_bandpower,subject_heldout,1,13007,6499,0.09367608759452131,-0.13077783584594727,0.708137571811676,0.7155311703681946
trialtype_rms,spatial_bandpower,subject_heldout,2,13001,6505,0.05902119749636314,-0.39830946922302246,0.7087682485580444,0.7142754197120667
trialtype_rms,spatial_bandpower,subject_heldout,3,13004,6502,0.12265449934903157,-0.015223264694213867,0.7149032354354858,0.7019384503364563
ft_valence_mean,time_ridge,within_run_block,1,13245,5253,0.017331408112610885,-3.0279159545898438e-05,0.540272057056427,0.49188485741615295
ft_valence_mean,time_ridge,within_run_block,2,13377,5161,0.01572447371478928,0.00013631582260131836,0.5064022541046143,0.5715609192848206
ft_valence_mean,time_ridge,within_run_block,3,13405,5125,0.02616483227721642,-0.0004724264144897461,0.5502520203590393,0.46159297227859497
ft_valence_mean,time_ridge,subject_heldout,1,13007,6499,0.02288477833242875,-0.0002092123031616211,0.560000479221344,0.44989362359046936
ft_valence_mean,time_ridge,subject_heldout,2,13001,6505,0.02737043879318808,0.0005079507827758789,0.5293617844581604,0.5188854932785034
ft_valence_mean,time_ridge,subject_heldout,3,13004,6502,0.015619222126140121,7.12275505065918e-05,0.4856705963611603,0.598307728767395
