fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
1,real_eeg_ridge,Z_masked100,11625,5376,32,16,0.0608170346240513,0.051616108044981956,0.09721429813341409,0.0961703509092331,-0.10613296944886663,0.007626488095238095,0.03459821428571429,0.035094730678694494,105.0,0.5704904878618114,0.09592134758876003,affective_rawtf_lagm4
1,shifted_null_ridge,Z_masked100,11625,5376,32,16,-0.0016917101820581593,-0.002724554855376482,0.0038357601440656723,0.011312502436339855,-0.1854706090051279,0.003720238095238095,0.019717261904761904,0.02353055319039113,127.0,0.5029156454248367,0.0007186153335465507,affective_rawtf_lagm4
1,time_only_ridge,Z_masked100,11625,5376,32,16,0.006231887681678927,0.0071321160066872835,0.005327889831914403,0.014074060134589672,-7.003264077320992e-05,0.0033482142857142855,0.018973214285714284,0.02399005770303317,125.0,0.5077628968253968,0.007504352954705193,affective_rawtf_lagm4
1,train_mean,Z_masked100,11625,5376,32,16,-3.3253374593852913e-09,-3.6019587312807744e-09,-0.0031255024152761464,-0.005090968916192651,-4.5285872597888854e-05,0.00390625,0.01953125,0.023923222511005003,128.5,0.5,3.510749891857824e-19,affective_rawtf_lagm4
1,time_residual_eeg_ridge,Z_masked100_time_resid,11625,5376,32,16,0.060561691236216575,0.05220823921263218,0.0940834007400942,0.09530414640903473,-0.1073249416753359,0.0078125,0.03422619047619048,0.03494674311263474,106.0,0.5693911939775911,0.0937638847176763,affective_rawtf_lagm4
1,time_residual_shifted_null,Z_masked100_time_resid,11625,5376,32,16,-0.0050156917386630084,-0.007352655753493309,-0.003728732814347729,0.0033942037262022495,-0.16721950263519147,0.003162202380952381,0.01711309523809524,0.022822627241862174,127.0,0.5008512780112044,-0.0003428095284047196,affective_rawtf_lagm4
1,time_residual_mean,Z_masked100_time_resid,11625,5376,32,16,-1.3463330228447035e-09,-1.1465722260517452e-09,0.002539595836150879,0.009986068587750196,-7.659424611761168e-05,0.00390625,0.01953125,0.023923222511005,128.5,0.5,-9.809448227249802e-20,affective_rawtf_lagm4
2,real_eeg_ridge,Z_masked100,11655,5376,32,16,0.059911813295912,0.05848056636750698,0.07469584255595746,0.08486348390579224,-0.13737128927372444,0.006510416666666667,0.031994047619047616,0.03281045388207952,108.0,0.559298406862745,0.07537830209153387,affective_rawtf_lagm4
2,shifted_null_ridge,Z_masked100,11655,5376,32,16,-0.005630223517982813,-0.0011329906556056812,-0.020740237716414152,-0.018774567171931267,-0.20801230452729547,0.004464285714285714,0.02101934523809524,0.024069137811832682,133.0,0.4889793417366947,-0.017808266330641018,affective_rawtf_lagm4
2,time_only_ridge,Z_masked100,11655,5376,32,16,0.005991609397369757,0.0036363129038363695,0.0009148068447919806,-0.0033925018506124616,-1.0703594700567365e-05,0.0033482142857142855,0.020089285714285716,0.02414775351066244,129.0,0.5038077731092437,0.0018092665167340671,affective_rawtf_lagm4
2,train_mean,Z_masked100,11655,5376,32,16,-1.3641792911350197e-09,-3.4696040485115986e-09,-0.005812064612966662,-0.012707989197224379,-8.332545241662714e-05,0.00390625,0.01953125,0.023923222511005,128.5,0.5,8.880132079405083e-19,affective_rawtf_lagm4
2,time_residual_eeg_ridge,Z_masked100_time_resid,11655,5376,32,16,0.05970193376560928,0.05782250314950943,0.07234604444096926,0.08269193768501282,-0.1378265380253576,0.005952380952380952,0.03162202380952381,0.0322045370438213,109.0,0.5572427929505136,0.07340250374752548,affective_rawtf_lagm4
