eval_dataset,fold,model,n_train,n_test,test_subjects,latent_corr_mean,latent_corr_median,latent_row_corr_mean,latent_positive_frac,roi_corr_mean,r2_variance_weighted,decoder_roi_corr_mean,decoder_roi_corr_median,decoder_roi_corr_positive_frac,decoder_spatial_corr_mean,decoder_r2_variance_weighted,best_val_loss,epochs_ran,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,spatial_corr_median,r2_uniform,best_epoch,trainable_params
natview,1,time_dataset_ridge,3747,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.010370598308099943,0.00856094853952527,0.00939148110906307,0.6328125,nan,nan,-0.0011957077675469917,0.0006921955500729382,0.51,-0.0009729201206909231,-2.488253994670231e-05,nan,0.0,,,,,,,
natview,1,neurostorm_spatial,3747,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,-0.0009448241315794803,-0.0006049430521670729,0.00023940498061671134,0.48828125,-0.007237386864289874,-0.0024181068874895573,-0.004931666426127777,-0.007088759681209922,0.39,-0.0013545830587691297,-0.0034494877327233553,1.2603870996573467,6.0,-0.007386456010863185,0.31,0.004661481200051893,0.0075722814071923494,-0.0024181068874895573,2.0,196385
natview,1,neurostorm_shifted_null,3747,2064,sub-05 sub-06 sub-08 sub-11 sub-13 sub-17 sub-18 sub-19,0.0010895854151158346,-0.0006233269814401865,0.0004925185587986322,0.48828125,-0.018693796646512054,-0.005359239876270294,-0.02963225097977556,-0.030037510208785534,0.03,-0.004138062248390171,-0.007300246972590685,1.2607631602888631,9.0,-0.017614194191992283,0.12,-0.004329581545109193,0.0019757571863010526,-0.005359239410609007,5.0,196385
