fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name
1,real_eeg_ridge,Z_masked100,12792,6399,32,16,0.0015309761211028672,0.001835275732446462,0.002550781763745982,-0.004866809584200382,-1.0552511467884984,0.0014064697609001407,0.006094702297233943,0.008235975287613563,455.0,0.5018905867016477,0.0025402646748248583,affective
1,shifted_null_ridge,Z_masked100,12792,6399,32,16,0.00020324434444773942,0.0006884399335831404,-0.0005792751374101021,-0.0003384863957762718,-0.6848631889768004,0.0014064697609001407,0.005313330207844975,0.00842681477923427,452.0,0.5020519264300471,0.0022669922843435047,affective
1,time_only_ridge,Z_masked100,12792,6399,32,16,0.0015008052499752011,0.001426566916052252,0.00915844739098571,0.011503554880619049,-1.5820521215070826e-05,0.0010939209251445538,0.005625879043600563,0.008171117600985931,449.0,0.5044774386127278,0.004639070293180741,affective
1,train_mean,Z_masked100,12792,6399,32,16,9.966025665538549e-11,-8.11063327610384e-10,0.0049908636911704584,0.0088315075263381,-1.7782756405182454e-06,0.0010939209251445538,0.005469604625722769,0.008090364927966262,458.0,0.5,5.8856689363498815e-19,affective
2,real_eeg_ridge,Z_masked100,12798,6393,32,16,0.005191009913687594,0.0030649983091279864,0.022285581548628565,0.025911841541528702,-0.09487505657133677,0.0014077897700610043,0.007508212106992022,0.00912639184998485,438.0,0.5160470353610621,0.022630529992400877,affective
2,shifted_null_ridge,Z_masked100,12798,6393,32,16,-0.0033761144745767524,-0.0028095493325963616,-0.011163635296743328,-0.01563206873834133,-0.054016933201456396,0.000782105427811669,0.005005474737994682,0.00798747467565425,455.0,0.5009036879465145,-0.00015555937930290312,affective
2,time_only_ridge,Z_masked100,12798,6393,32,16,-7.627891113770602e-05,-0.00010419402315164916,0.010454288447246982,0.004388861823827028,-1.5645264971997364e-05,0.001564210855623338,0.0070389488503050214,0.009293150721197987,456.0,0.504840654909652,0.005859434941724752,affective
2,train_mean,Z_masked100,12798,6393,32,16,4.552980091708668e-10,1.4968493111666703e-10,-0.0034389570802648302,-0.0073447139002382755,-1.7129852158959125e-06,0.0010949475989363367,0.005474737994681683,0.008096930176404346,457.0,0.5,-2.4781763942525814e-19,affective
3,real_eeg_ridge,Z_masked100,12792,6399,32,16,0.004019967861040641,0.0015147880621952936,0.005561753394594316,0.003999126609414816,-0.12589758527237271,0.0014064697609001407,0.005157055789967183,0.008595410320083145,449.0,0.505383366253376,0.010624919580904084,affective
3,shifted_null_ridge,Z_masked100,12792,6399,32,16,-0.0015100103501026751,-0.0034181789960712194,0.009191827910746665,0.017442503944039345,-0.09083199150300114,0.0009376465072667605,0.004063134864822629,0.00790048406304634,449.0,0.5069822715581219,0.009457733586304168,affective
3,time_only_ridge,Z_masked100,12792,6399,32,16,0.004138714613532102,0.0035170973278582096,0.003101431113511247,0.001439716317690909,2.9529716817355833e-06,0.0010939209251445538,0.004844506954211595,0.007739685856835949,457.0,0.49815474134793897,-0.0005987495631829091,affective
3,train_mean,Z_masked100,12792,6399,32,16,-1.79072061917369e-09,-1.5480038362269966e-09,-0.010673389117981031,-0.023328298702836037,-1.1811886726498244e-06,0.0010939209251445538,0.005469604625722769,0.008090364927966262,458.0,0.5,1.4249514266952343e-18,affective
1,real_eeg_ridge,Z_masked100,3537,1944,32,16,0.002138158568413928,0.004043895052745938,0.008053067914302362,0.011788961943238974,-0.9378056161557551,0.004629629629629629,0.018518518518518517,0.024547568112513733,124.0,0.49862857185843235,4.374217824513647e-05,natview
1,shifted_null_ridge,Z_masked100,3537,1944,32,16,0.005089653821869433,0.0068701570853590965,-0.02702474629913623,-0.06202210858464241,-1.109419426665342,0.0030864197530864196,0.020061728395061727,0.024823305095110226,122.0,0.5018999987883991,0.0002885247372070802,natview
1,time_only_ridge,Z_masked100,3537,1944,32,16,0.0018696934967010748,0.003531839873176068,-0.0005921839839762552,-0.009369249921292067,-0.005306457571563117,0.0051440329218107,0.029835390946502057,0.02776697991364396,120.0,0.5021639793280743,-0.0028606553494547613,natview
1,train_mean,Z_masked100,3537,1944,32,16,2.3380034464004494e-09,2.0323692728752007e-09,0.0135698557932387,0.0207916758954525,-4.34106244913135e-05,0.00411522633744856,0.0205761316872428,0.024957406885679212,122.0,0.5,1.0842021724855044e-19,natview
2,real_eeg_ridge,Z_masked100,3657,1824,32,16,0.0012587105725287984,0.0012328939628787339,4.6055082285627644e-05,-0.0074390575755387545,-0.463632164544439,0.005482456140350877,0.01918859649122807,0.023773586023711518,134.0,0.492652979402216,-0.007354723368886662,natview
2,shifted_null_ridge,Z_masked100,3657,1824,32,16,0.0017785865729820216,0.0021438312251120806,-0.007156844429661297,-0.02999813947826624,-1.062700545018906,0.0043859649122807015,0.01644736842105263,0.023759138170222117,132.0,0.4963267914265919,-0.006831956863636994,natview
2,time_only_ridge,Z_masked100,3657,1824,32,16,-0.009503370500169694,-0.011492157820612192,-0.017591040595423567,-0.03264347091317177,-0.0036176852872185083,0.003289473684210526,0.015350877192982455,0.021551203730694614,139.0,0.48531886271984986,-0.015361986857044934,natview
2,train_mean,Z_masked100,3657,1824,32,16,1.9656310884519357e-09,-1.88708221271483e-09,0.000736889671938307,0.008436314295977354,-2.022567009141163e-05,0.003837719298245614,0.01918859649122807,0.023566787282999713,131.0,0.5,1.02224776262919e-18,natview
