run,model,null_model,roi_corr_mean,null_roi_corr_mean,delta_roi_corr_mean,roi_corr_median,roi_corr_positive_frac,spatial_corr_mean,retrieval_top1,retrieval_top5,latent_corr_mean,pca_explained_variance,r2_variance_weighted,path
pca24_no_offset_subject,eeg_ridge_pca,shifted_null_pca,0.00014127826574286822,-0.00445956840127836,0.004600846667021229,0.00013323735774237508,0.484,-0.0004735998894835499,0.002818956913947108,0.01576832851182088,-0.00016669301507413184,0.8718927413551516,-0.008418591515630524,results/natview_pilot_pca24/summary.json
pca24_offset10p5_w4_subject,eeg_ridge_pca,shifted_null_pca,0.009515808436490235,-0.0032122070890032205,0.012728015525493457,0.011237326352755853,0.624,-0.004629709080007031,0.002926512981797652,0.01884786688803506,-0.0014843849390712197,0.8717514092027765,-0.01979990403370791,results/natview_pilot_pca24_offset10p5_subjectcv/summary.json
roi_offset10p5_w8_lags4to12_subject,eeg_ridge_roi,shifted_null_roi,0.025745838455730675,-0.0010946791863983174,0.026840517642128994,0.026547531112399582,0.8879999999999999,0.0024107530214119467,0.0044470355033755715,0.02176349178412943,nan,nan,-0.23878519990040964,results/natview_pilot_roi_offset10p5_w8_lags4to12_subjectcv/summary.json
pca8_offset10p5_w8_lags4to12_subject,eeg_ridge_pca,shifted_null_pca,0.02914567406547399,-0.0009725381364141389,0.03011821220188813,0.029330636189598365,0.9179999999999999,0.003865190597906544,0.005093901333217611,0.021540578629131953,0.012321514716238092,0.7469957800139359,-0.17982275331400668,results/natview_pilot_pca8_offset10p5_w8_lags4to12_subjectcv/summary.json
pca16_offset10p5_w8_lags4to12_subject,eeg_ridge_pca,shifted_null_pca,0.027735178560912854,-0.0008555328126105824,0.028590711373523436,0.028566781722820272,0.892,0.0025506602916637515,0.003502470598023578,0.02110861313936297,0.005597335456613025,0.8294949994948965,-0.2002838773633917,results/natview_pilot_pca16_offset10p5_w8_lags4to12_subjectcv/summary.json
pca24_offset10p5_w8_lags4to12_subject,eeg_ridge_pca,shifted_null_pca,0.027060010117420964,-0.0011512460653949966,0.02821125618281596,0.028171569499400306,0.8960000000000001,0.0020950504982164336,0.0037717714810455967,0.021283409648592152,0.003230969303241652,0.871163999586835,-0.20732452363440138,results/natview_pilot_pca24_offset10p5_w8_lags4to12_subjectcv/summary.json
pca32_offset10p5_w8_lags4to12_subject,eeg_ridge_pca,shifted_null_pca,0.02676738106780967,-0.0012631072698160652,0.028030488337625736,0.027536403975183997,0.8880000000000001,0.0023884693862548136,0.003962715959370652,0.02070618783110629,0.0033393722864025685,0.8993867532957001,-0.21240459004331944,results/natview_pilot_pca32_offset10p5_w8_lags4to12_subjectcv/summary.json
pca24_offset10p5_w8_lags4to12_session,eeg_ridge_pca,shifted_null_pca,0.021007486344370534,0.0020970993139388045,0.01891038703043173,0.02163145308050683,0.8560000000000001,4.625665406588894e-05,0.004065045099627018,0.021077837867535365,0.0013962680525292793,0.8708579229907351,-0.2704512669227626,results/natview_pilot_pca24_offset10p5_w8_lags4to12_sessioncv/summary.json
