experiment,method,target_mode,retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2
affective global pca64,longctx_lowrank_transformer,time_residual,0.5280430575007781,0.0152723964419539,0.015542756331603865,0.011137441157643433,-0.002602174751321967
affective global pca64,longctx_lowrank_transformer,time_residual_shifted_null,0.4999681469810146,0.00034127913981160006,0.0007149116187175667,-0.00012078844307930003,-0.004081363554137833
affective global pca64,ridge_context_mean,time_residual,0.507110031512605,0.0114360979885828,0.011626235421506467,0.0070332754645884,0.00012609969037743332
affective global pca64,ridge_last,time_residual,0.5236505018674137,0.03727298854491707,0.03752349262099963,0.016331426114239333,0.004638391708487033
affective global pca64,time_ridge,time_residual,0.48243731520385924,-0.029731208121328265,-0.03669162253316136,-0.00047958359639703333,-7.459123397079992e-05
affective run identity,longctx_lowrank_transformer,time_residual,0.5284218895891691,0.013887413340986332,0.010584449052454134,0.017599638328950534,-0.0037644361703713
affective run identity,longctx_lowrank_transformer,time_residual_shifted_null,0.4948903867102396,-0.002238070937484967,0.004071161231050333,5.076040969770006e-05,-0.005416083481644333
affective run identity,ridge_context_mean,time_residual,0.506619592281357,0.010517615937641599,0.004534930105079433,0.02125581315216547,-1.153858801056668e-05
affective run identity,ridge_last,time_residual,0.523463517351385,0.035609205169970466,0.010653719240148468,0.07188187059015033,0.0039981044589632
affective run identity,time_ridge,time_residual,0.5058887964908185,0.005023687034550967,9.313239841880002e-05,0.0059166569214615,-2.5668406746855627e-05
pooled run identity,longctx_lowrank_transformer,time_residual,0.5183388597987496,0.005456845764047633,0.007691165334721366,0.00017910601248633334,-0.0071972070316936336
pooled run identity,longctx_lowrank_transformer,time_residual:dataset=affective,0.5225178960473078,0.011176481824263701,0.0092692289161365,0.0142993150398251,-0.003350798448147433
pooled run identity,longctx_lowrank_transformer,time_residual:dataset=experience,0.506492502858428,0.00045216421135866664,0.0032145453383642,-0.0044418930272028,-0.028513841770852002
pooled run identity,longctx_lowrank_transformer,time_residual_shifted_null,0.4982976761714859,-0.004301461142952234,0.0176162351572229,0.20175789470318697,0.050772820389898395
pooled run identity,longctx_lowrank_transformer,time_residual_shifted_null:dataset=affective,0.5007678765950825,-5.968164046000022e-06,0.0020739950708654332,-0.00019878489798736665,-0.03272439656954113
pooled run identity,longctx_lowrank_transformer,time_residual_shifted_null:dataset=experience,0.49123617874713976,-0.0080600174994952,0.06193524450967283,0.18638180499731483,0.0313243703343546
pooled run identity,ridge_context_mean,time_residual,0.5087386626170393,0.005713032549100834,0.0056519935737643,0.027008359441715535,-0.006894023409797033
pooled run identity,ridge_context_mean,time_residual:dataset=affective,0.5064637313258636,0.0099054233572748,0.0051200806979408335,0.02077187521155183,6.655751929573332e-05
pooled run identity,ridge_context_mean,time_residual:dataset=experience,0.5152636914645297,0.0020446905919486668,0.007120691930726233,0.08032510508142869,-0.028235255832547098
pooled run identity,ridge_last,time_residual,0.515209940594083,0.009992168826984801,0.004608577790663934,0.006143675399737966,-0.0070827293317566
pooled run identity,ridge_last,time_residual:dataset=affective,0.5216289293495175,0.03274294732529997,0.009586520480994034,0.06747070699309307,0.0036759092165679335
pooled run identity,ridge_last,time_residual:dataset=experience,0.4969622944527445,-0.009914762359040933,-0.009539678676873133,-0.0018536588204976,-0.028472878699975168
pooled run identity,time_ridge,time_residual,0.5016363562791853,0.007026619062232267,-0.002884223038744533,-0.025211465989608103,-0.007158863105330734
pooled run identity,time_ridge,time_residual:dataset=affective,0.5038437597261126,0.0038510065572512665,0.0006425482347959666,0.0042443175587762,-4.5676259500889846e-05
pooled run identity,time_ridge,time_residual:dataset=experience,0.4954236392535212,0.009805280004090632,-0.012865599329720765,-0.053653800797246694,-0.0285091367901745
pooled global identity,longctx_lowrank_transformer,time_residual,0.5309551356205539,0.026860615802973765,0.012868950197825767,0.019645601308244866,-0.0040164603345158
pooled global identity,longctx_lowrank_transformer,time_residual:dataset=affective,0.523327716503268,0.012078566756120299,0.004845893663814966,0.015346955356144401,-0.004282733272938067
pooled global identity,longctx_lowrank_transformer,time_residual:dataset=experience,0.5526142330080012,0.0397949087189705,0.0356914922785409,0.030030827111816764,-0.0034247865059135
pooled global identity,longctx_lowrank_transformer,time_residual_shifted_null,0.5005792367898384,0.0005533921231217666,0.0012085325517018,0.0003741988328905001,-0.005734925937074133
pooled global identity,longctx_lowrank_transformer,time_residual_shifted_null:dataset=affective,0.5001353145424837,-0.00016439972181470007,0.0017729360228831332,-0.0006621594984123001,-0.005577659242947967
pooled global identity,longctx_lowrank_transformer,time_residual_shifted_null:dataset=experience,0.5018396281932243,0.0011814599874412667,-0.00041581300386039997,0.0033214668483196666,-0.006364433295533367
pooled global identity,ridge_context_mean,time_residual,0.5197410782435744,0.051432215037518436,0.022522222685235068,0.028286312525063532,-0.003659953428775733
pooled global identity,ridge_context_mean,time_residual:dataset=affective,0.5062149859943977,0.007731562349426901,0.005365117764758033,0.012502675469936499,-0.007395056426212666
pooled global identity,ridge_context_mean,time_residual:dataset=experience,0.5582485571235377,0.0896702861395985,0.07129925108569707,0.08079361082471827,0.006913063201516134
pooled global identity,ridge_last,time_residual,0.5183310187761861,0.029800335714024063,0.014198902511160535,0.057470691485019994,0.0017757096808473
pooled global identity,ridge_last,time_residual:dataset=affective,0.5195210375816993,0.030626540503585264,0.010583067039080267,0.06420695753457643,0.0025891434525522
pooled global identity,ridge_last,time_residual:dataset=experience,0.5149768093281926,0.029077406523157965,0.024477202328989898,0.0320366055364138,-0.0007384760438469334
pooled global identity,time_ridge,time_residual,0.48092303034053213,0.013637259080603365,-0.03395319804930964,-0.005674054124519833,-0.000284816036343
pooled global identity,time_ridge,time_residual:dataset=affective,0.45806781045751627,-0.0608526052329443,-0.07131269948819784,-0.021943358953139935,-0.0007779522602035
pooled global identity,time_ridge,time_residual:dataset=experience,0.5459439779943157,0.07881589035495766,0.07233244476327114,0.0427981955692909,0.0009657420557174333
