experiment,method,target_mode,retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2
pca64,longctx_lowrank_transformer,time_residual,0.528330806241263,0.028057970554192267,0.017348077133778502,0.0140353876984894,-0.0028419074563518
pca64,longctx_lowrank_transformer,time_residual_shifted_null,0.5015027446526753,0.0007171185674594332,0.0013490337625044334,-0.0004335410331606001,-0.004337356147536234
pca64,ridge_context_mean,time_residual,0.5196609389864667,0.05289590948065073,0.028088518679821633,0.015453143119733101,-0.003680626316908467
pca64,ridge_last,time_residual,0.5180334736067701,0.030453283827868532,0.030100502261680633,0.014895336508288835,0.0020433456914743667
pca64,time_ridge,time_residual,0.48115665973388255,0.0151665568187255,-0.03648309012489633,-0.004983860205356867,-0.0002955342991967
pca32,longctx_lowrank_transformer,time_residual,0.528190737550493,0.03554006425930024,0.024190235630733133,0.020649093529433032,-0.0030506327175046665
pca32,longctx_lowrank_transformer,time_residual_shifted_null,0.5007866118640315,0.002007092935938284,0.0012392832006542377,0.0004948746233519001,-0.0043925561825472
pca32,ridge_context_mean,time_residual,0.5191866721870836,0.0556249294981866,0.029819229637102766,0.02077641356299857,-0.0037045788337063666
pca32,ridge_last,time_residual,0.5172664700557368,0.031518532031791835,0.03129719799595117,0.0179183527804222,0.002576129246676867
pca32,time_ridge,time_residual,0.48160793809839814,0.0184504785830346,-0.0359818055144039,-0.0027945342205081664,-0.000316129580785
identity,longctx_lowrank_transformer,time_residual,0.5309551356205539,0.026860615802973765,0.012868950197825767,0.019645601308244866,-0.0040164603345158
identity,longctx_lowrank_transformer,time_residual_shifted_null,0.5005792367898384,0.0005533921231217666,0.0012085325517018,0.0003741988328905001,-0.005734925937074133
identity,ridge_context_mean,time_residual,0.5197410782435744,0.051432215037518436,0.022522222685235068,0.028286312525063532,-0.003659953428775733
identity,ridge_last,time_residual,0.5183310187761861,0.029800335714024063,0.014198902511160535,0.057470691485019994,0.0017757096808473
identity,time_ridge,time_residual,0.48092303034053213,0.013637259080603365,-0.03395319804930964,-0.005674054124519833,-0.000284816036343
skip-pca64,longctx_lowrank_transformer,time_residual,0.521143855444134,0.039183620705482564,0.029547157219815132,0.014906496564310067,-0.08206110648886088
skip-pca64,longctx_lowrank_transformer,time_residual_shifted_null,0.5028437371947015,0.008061172727493066,0.0030480187000469,-0.0001702120036680335,-0.07858468414748083
skip-pca64,ridge_context_mean,time_residual,0.5196609389864667,0.05289590948065073,0.028088518679821633,0.015453143119733101,-0.003680626316908467
skip-pca64,ridge_last,time_residual,0.5180334736067701,0.030453283827868532,0.030100502261680633,0.014895336508288835,0.0020433456914743667
skip-pca64,time_ridge,time_residual,0.48115665973388255,0.0151665568187255,-0.03648309012489633,-0.004983860205356867,-0.0002955342991967
affective,longctx_lowrank_transformer,time_residual,0.5280430575007781,0.0152723964419539,0.015542756331603865,0.011137441157643433,-0.002602174751321967
affective,longctx_lowrank_transformer,time_residual_shifted_null,0.4999681469810146,0.00034127913981160006,0.0007149116187175667,-0.00012078844307930003,-0.004081363554137833
affective,ridge_context_mean,time_residual,0.507110031512605,0.0114360979885828,0.011626235421506467,0.0070332754645884,0.00012609969037743332
affective,ridge_last,time_residual,0.5236505018674137,0.03727298854491707,0.03752349262099963,0.016331426114239333,0.004638391708487033
affective,time_ridge,time_residual,0.48243731520385924,-0.029731208121328265,-0.03669162253316136,-0.00047958359639703333,-7.459123397079992e-05
experience,longctx_lowrank_transformer,time_residual,0.5542717561896163,0.036830366225727565,0.03397302826726157,0.024774745149746435,-0.0030933708796606336
experience,longctx_lowrank_transformer,time_residual_shifted_null,0.4888390609170197,-0.0063556588535019,-0.006557783749307066,-0.004314482524885433,-0.009836190586198201
experience,ridge_context_mean,time_residual,0.5543554764221977,0.08895816513072807,0.0798238920623183,0.046320414559734936,-0.007737714233311667
experience,ridge_last,time_residual,0.5364575845469104,0.05419846229552466,0.05230725332352573,0.02120266980690143,-0.009167019979076433
experience,time_ridge,time_residual,0.4777904076247051,-0.01252611815481173,-0.028414517748783303,-0.0499846688541462,-0.00035582228203926667
