experiment,method,target_mode,retrieval_rank_percentile_mean,diag_minus_offdiag,row_corr_mean,target_corr_mean,r2
pooled no xrunz,longctx_lowrank_transformer,time_residual,0.5133162405916242,0.0033642869029585666,0.004173808761061067,0.008393074139253933,-0.0010903645008113001
pooled no xrunz,longctx_lowrank_transformer,time_residual_shifted_null,0.5004551630248003,0.0003194133733236742,0.0021951039621844665,-0.0013252169072946669,-0.0016046785877759668
pooled no xrunz,ridge_context_mean,time_residual,0.5044739741087327,0.010640723053072731,0.008722388253035432,0.008350360002964368,4.888402250147172e-05
pooled no xrunz,ridge_last,time_residual,0.5152176377522499,0.02085005013088857,0.02499413697535317,0.0094704511703866,0.0011277873125742
pooled no xrunz,time_ridge,time_residual,0.48115665973388255,0.0151665568187255,-0.03648309012489633,-0.004983860205356867,-0.0002955342991967
pooled xrunz,longctx_lowrank_transformer,time_residual,0.528330806241263,0.028057970554192267,0.017348077133778502,0.0140353876984894,-0.0028419074563518
pooled xrunz,longctx_lowrank_transformer,time_residual_shifted_null,0.5015027446526753,0.0007171185674594332,0.0013490337625044334,-0.0004335410331606001,-0.004337356147536234
pooled xrunz,ridge_context_mean,time_residual,0.5196609389864667,0.05289590948065073,0.028088518679821633,0.015453143119733101,-0.003680626316908467
pooled xrunz,ridge_last,time_residual,0.5180334736067701,0.030453283827868532,0.030100502261680633,0.014895336508288835,0.0020433456914743667
pooled xrunz,time_ridge,time_residual,0.48115665973388255,0.0151665568187255,-0.03648309012489633,-0.004983860205356867,-0.0002955342991967
affective xrunz,longctx_lowrank_transformer,time_residual,0.5280430575007781,0.0152723964419539,0.015542756331603865,0.011137441157643433,-0.002602174751321967
affective xrunz,longctx_lowrank_transformer,time_residual_shifted_null,0.4999681469810146,0.00034127913981160006,0.0007149116187175667,-0.00012078844307930003,-0.004081363554137833
affective xrunz,ridge_context_mean,time_residual,0.507110031512605,0.0114360979885828,0.011626235421506467,0.0070332754645884,0.00012609969037743332
affective xrunz,ridge_last,time_residual,0.5236505018674137,0.03727298854491707,0.03752349262099963,0.016331426114239333,0.004638391708487033
affective xrunz,time_ridge,time_residual,0.48243731520385924,-0.029731208121328265,-0.03669162253316136,-0.00047958359639703333,-7.459123397079992e-05
experience xrunz,longctx_lowrank_transformer,time_residual,0.5542717561896163,0.036830366225727565,0.03397302826726157,0.024774745149746435,-0.0030933708796606336
experience xrunz,longctx_lowrank_transformer,time_residual_shifted_null,0.4888390609170197,-0.0063556588535019,-0.006557783749307066,-0.004314482524885433,-0.009836190586198201
experience xrunz,ridge_context_mean,time_residual,0.5543554764221977,0.08895816513072807,0.0798238920623183,0.046320414559734936,-0.007737714233311667
experience xrunz,ridge_last,time_residual,0.5364575845469104,0.05419846229552466,0.05230725332352573,0.02120266980690143,-0.009167019979076433
experience xrunz,time_ridge,time_residual,0.4777904076247051,-0.01252611815481173,-0.028414517748783303,-0.0499846688541462,-0.00035582228203926667
