dataset_name,mode,lag,real_rank_pct,shifted_rank_pct,time_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag
affective,tf,-8,0.544385115157174,0.5005136603252412,0.5057542114067849,0.04387145483193278,0.038630903750389134,0.059874802616536056,0.543443141145347,0.4975400229536259,0.04590311819172105,0.05843108670626712
affective,tf,-7,0.5517550770308123,0.49910155034235926,0.5052241382664177,0.05265352668845302,0.046530938764394625,0.07069831189220922,0.550090209694989,0.4965828518907563,0.053507357804232714,0.0683083454639835
affective,tf,-6,0.5612613795518208,0.49639659683317766,0.5053306392001244,0.0648647827186431,0.05593074035169632,0.08227951688711195,0.5593183453937131,0.4949667366946778,0.06435160869903528,0.0794723137583082
affective,tf,-5,0.5643655899859944,0.49548513849984444,0.505509356520386,0.06888045148614996,0.05885623346560842,0.08646015743719433,0.5626573198723934,0.49247393401805173,0.0701833858543417,0.08417763061120635
affective,tf,-4,0.5650834986772487,0.4960716230936819,0.5055378053999378,0.0690118755835668,0.05954569327731096,0.08597955674885589,0.5632284858387799,0.49040129940865235,0.07282718643012759,0.08378479036331843
affective,tf,-3,0.5621218973700591,0.49922774665421726,0.5053274782135077,0.06289415071584187,0.05679441915655148,0.08067751095187913,0.5607996323529413,0.49516563569872396,0.06563399665421732,0.07893804240659158
affective,tf,-2,0.5497952653283535,0.5001225490196078,0.505431304466231,0.0496727163087457,0.044363960862122576,0.06834615487547317,0.5483178688141923,0.4967590161064426,0.051558852707749736,0.06640182684556238
affective,tf,-1,0.537960531434796,0.4978527174758793,0.5067280384375973,0.04010781395891677,0.03123249299719877,0.05361715296014944,0.5367826991907875,0.49988097669623405,0.036901722494553424,0.05219719770063567
affective,tf,0,0.5292562684796142,0.5008573568316215,0.5080041044195457,0.028398911647992686,0.021252164060068468,0.042756083598740786,0.5273853291316527,0.5004711085823218,0.026914220549330903,0.04033143285726329
affective,tf,1,0.5205741324307501,0.5026027077497666,0.5064232463818862,0.01797142468098356,0.014150886048863942,0.031131518494696104,0.5191725995953936,0.5028733368347339,0.01629926276065974,0.029371972528847583
